NBH_NAMES,P_Lack_PA,P_BelowPov,P_Black,Gyms,OBJECTID
Congress Heights Bellevue Washington Highlands,31.0,38.7,95.7,0,1
Douglas Shipley Terrace,32.7,37.6,97.3,0,2
Woodland/Fort Stanton Garfield Heights Knox Hill,37.7,52.1,96.3,0,3
Near Southeast Navy Yard,12.9,12.2,22.8,1,4
River Terrace Benning Greenway Dupont Park,31.3,27.3,97.1,0,5
Downtown Chinatown Penn Quarters Mount Vernon Square North Capitol Street,17.6,17.4,33.5,7,6
West End Foggy Bottom GWU,12.7,21.9,7.9,0,7
Mayfair Hillbrook Mahaning Heights,32.2,31.4,90.6,0,8
Deanwood Burrville Grant Park Lincoln Heights Fairmont Heights,30.8,26.6,95.7,1,9
Shaw Logan Circle,15.6,13.6,24.2,1,10
Eastland Gardens Kenilworth,31.8,43.3,98.1,0,11
Ivy City Arboretum Trinidad Carver Langston,28.4,30.2,76.7,4,12
Georgetown Burleith/Hillandale,12.7,13.6,5.5,1,13
Dupont Circle Connecticut Avenue/K Street,9.4,8.6,4.2,4,14
Howard University Le Droit Park Cardozo/Shaw,13.7,14.2,35.4,3,15
Southwest Employment Area Southwest/Waterfront Fort McNair Buzzard Point,17.7,14.4,46.5,4,16
Capitol View Marshall Heights Benning Heights,30.8,29.5,96.2,0,17
Spring Valley Palisades Wesley Heights Foxhall Crescent Foxhall Village Georgetown Reservoir,12.8,11.3,7.0,1,18
North Michigan Park Michigan Park University Heights,22.4,8.3,73.3,3,19
North Cleveland Park Forest Hills Van Ness,10.6,8.1,8.3,1,20
Brightwood Park Crestwood Petworth,22.1,12.7,57.0,1,21
Friendship Heights American University Park Tenleytown,11.5,4.4,5.5,2,22
Lamont Riggs Queens Chapel Fort Totten Pleasant Hill,24.2,17.2,67.5,1,23
Takoma Brightwood Manor Park,23.0,13.5,63.7,3,24
Colonial Village Shepherd Park North Portal Estates,14.7,3.9,69.0,0,25
Hawthorne Barnaby Woods Chevy Chase,13.0,5.3,10.2,0,26
Historic Anacostia,34.0,47.7,98.4,1,27
Fairfax Village Naylor Gardens Hillcrest Summit Park,23.1,20.7,84.7,1,28
Sheridan Barry Farm Buena Vista,28.0,27.6,74.2,0,29
Twining Fairlawn Randle Highlands Penn Branch Fort Davis Park Fort Dupont,26.4,22.0,93.2,0,30
Union Station Stanton Park Kingman Park,16.6,12.0,36.8,7,31
Kalorama Heights Adams Morgan Lanier Heights,10.7,7.5,8.5,5,32
Edgewood Bloomingdale Truxton Circle Eckington,20.8,18.6,58.3,0,33
Columbia Heights Mt. Pleasant Pleasant Plains Park View,18.3,15.3,35.9,4,34
Brookland Brentwood Langdon,24.8,19.5,77.7,2,35
Woodridge Fort Lincoln Gateway,25.4,14.0,83.6,1,36
Cathedral Heights McLean Gardens Glover Park,12.2,15.9,6.0,7,37
Cleveland Park Woodley Park Massachusetts Avenue Heights Woodland-Normanstone Terrace,11.1,6.7,6.6,2,38
Capitol Hill Lincoln Park,16.9,9.0,31.4,5,39
