N_Name,Burglary_3,OBJECTID
Brightwood Park Crestwood Petworth,7,30
Brightwood Park Crestwood Petworth,21,31
Brightwood Park Crestwood Petworth,18,32
Brightwood Park Crestwood Petworth,20,33
Brightwood Park Crestwood Petworth,12,34
Brightwood Park Crestwood Petworth,15,35
Brightwood Park Crestwood Petworth,7,36
Brightwood Park Crestwood Petworth,4,38
Brightwood Park Crestwood Petworth,13,39
Brightwood Park Crestwood Petworth,23,40
Brightwood Park Crestwood Petworth,9,41
Brookland Brentwood Langdon,23,136
Brookland Brentwood Langdon,38,140
Brookland Brentwood Langdon,18,141
Capitol Hill Lincoln Park,3,82
Capitol Hill Lincoln Park,5,83
Capitol Hill Lincoln Park,9,84
Capitol Hill Lincoln Park,14,85
Capitol Hill Lincoln Park,10,86
Capitol Hill Lincoln Park,1,87
Capitol Hill Lincoln Park,10,88
Capitol Hill Lincoln Park,9,89
Capitol View Marshall Heights Benning Heights,18,109
Capitol View Marshall Heights Benning Heights,16,164
Capitol View Marshall Heights Benning Heights,14,165
Capitol View Marshall Heights Benning Heights,26,166
Capitol View Marshall Heights Benning Heights,6,167
Capitol View Marshall Heights Benning Heights,5,168
Cathedral Heights McLean Gardens Glover Park,11,9
Cathedral Heights McLean Gardens Glover Park,6,10
Cathedral Heights McLean Gardens Glover Park,2,16
Cleveland Park Woodley Park Mass Ave Heights,2,5
Cleveland Park Woodley Park Mass Ave Heights,1,6
Cleveland Park Woodley Park Mass Ave Heights,8,7
Cleveland Park Woodley Park Mass Ave Heights,5,8
Colonial Village Shepherd Park N Portal,25,24
Columbia Heights Mt. Pleasant Park View,15,42
Columbia Heights Mt. Pleasant Park View,19,43
Columbia Heights Mt. Pleasant Park View,17,44
Columbia Heights Mt. Pleasant Park View,8,45
Columbia Heights Mt. Pleasant Park View,17,46
Columbia Heights Mt. Pleasant Park View,8,47
Columbia Heights Mt. Pleasant Park View,22,48
Columbia Heights Mt. Pleasant Park View,18,49
Columbia Heights Mt. Pleasant Park View,7,53
Columbia Heights Mt. Pleasant Park View,5,54
Columbia Heights Mt. Pleasant Park View,10,55
Congress Heights Bellevue Washington Highlands,5,93
Congress Heights Bellevue Washington Highlands,15,154
Congress Heights Bellevue Washington Highlands,13,155
Congress Heights Bellevue Washington Highlands,6,156
Congress Heights Bellevue Washington Highlands,13,157
Congress Heights Bellevue Washington Highlands,7,158
Congress Heights Bellevue Washington Highlands,22,159
Congress Heights Bellevue Washington Highlands,9,160
Congress Heights Bellevue Washington Highlands,18,161
Congress Heights Bellevue Washington Highlands,33,172
Deanwood Burrville Lincoln Heights,32,113
Deanwood Burrville Lincoln Heights,20,114
Deanwood Burrville Lincoln Heights,16,115
Deanwood Burrville Lincoln Heights,22,116
Deanwood Burrville Lincoln Heights,16,117
Douglass Shipley Terrace,21,95
Douglass Shipley Terrace,17,96
Douglass Shipley Terrace,40,100
Downtown Chinatown Penn MV Square N Capitol St,5,66
Downtown Chinatown Penn MV Square N Capitol St,3,67
Downtown Chinatown Penn MV Square N Capitol St,14,78
Downtown Chinatown Penn MV Square N Capitol St,3,79
Downtown Chinatown Penn MV Square N Capitol St,5,169
Dupont Circle Connecticut Avenue/K Street,7,61
Dupont Circle Connecticut Avenue/K Street,4,62
Dupont Circle Connecticut Avenue/K Street,9,75
Dupont Circle Connecticut Avenue/K Street,24,76
Dupont Circle Connecticut Avenue/K Street,21,175
Eastland Gardens Kenilworth,9,150
Edgewood Bloomingdale Truxton Circle Eckington,32,50
Edgewood Bloomingdale Truxton Circle Eckington,31,51
Edgewood Bloomingdale Truxton Circle Eckington,25,65
Edgewood Bloomingdale Truxton Circle Eckington,18,128
Edgewood Bloomingdale Truxton Circle Eckington,10,129
Edgewood Bloomingdale Truxton Circle Eckington,7,137
Edgewood Bloomingdale Truxton Circle Eckington,17,138
Edgewood Bloomingdale Truxton Circle Eckington,7,139
Fairfax Village Hillcrest Summit Park,16,105
Fairfax Village Hillcrest Summit Park,18,106
Friendship Heights AU Park Tenleytown,13,15
Friendship Heights AU Park Tenleytown,18,17
Georgetown Burleith/Hillandale,11,1
Georgetown Burleith/Hillandale,1,2
Georgetown Burleith/Hillandale,22,3
Georgetown Burleith/Hillandale,14,4
Hawthorne Barnaby Woods Chevy Chase,7,21
Hawthorne Barnaby Woods Chevy Chase,0,22
Hawthorne Barnaby Woods Chevy Chase,10,23
Historic Anacostia,23,102
Historic Anacostia,17,103
Howard University Le Droit Park Cardozo/Shaw,22,52
Howard University Le Droit Park Cardozo/Shaw,13,63
Howard University Le Droit Park Cardozo/Shaw,20,64
Ivy City Arboretum Trinidad Carver Langston,28,130
Ivy City Arboretum Trinidad Carver Langston,20,131
Ivy City Arboretum Trinidad Carver Langston,21,132
Ivy City Arboretum Trinidad Carver Langston,49,133
Ivy City Arboretum Trinidad Carver Langston,28,134
Kalorama Heights Adams Morgan Lanier Heights,6,56
Kalorama Heights Adams Morgan Lanier Heights,7,57
Kalorama Heights Adams Morgan Lanier Heights,11,58
Kalorama Heights Adams Morgan Lanier Heights,8,59
Kalorama Heights Adams Morgan Lanier Heights,8,60
Lamond Riggs Fort Totten Pleasant Hill,8,143
Lamond Riggs Fort Totten Pleasant Hill,6,146
Lamond Riggs Fort Totten Pleasant Hill,3,147
Lamond Riggs Fort Totten Pleasant Hill,8,148
