N_Name,Burglary_2,Burglary_3,OBJECTID
Brightwood Park Crestwood Petworth,6,7,30
Brightwood Park Crestwood Petworth,16,21,31
Brightwood Park Crestwood Petworth,13,18,32
Brightwood Park Crestwood Petworth,6,20,33
Brightwood Park Crestwood Petworth,5,12,34
Brightwood Park Crestwood Petworth,14,15,35
Brightwood Park Crestwood Petworth,1,7,36
Brightwood Park Crestwood Petworth,8,4,38
Brightwood Park Crestwood Petworth,12,13,39
Brightwood Park Crestwood Petworth,15,23,40
Brightwood Park Crestwood Petworth,6,9,41
Brookland Brentwood Langdon,21,23,136
Brookland Brentwood Langdon,25,38,140
Brookland Brentwood Langdon,11,18,141
Capitol Hill Lincoln Park,9,3,82
Capitol Hill Lincoln Park,7,5,83
Capitol Hill Lincoln Park,11,9,84
Capitol Hill Lincoln Park,4,14,85
Capitol Hill Lincoln Park,5,10,86
Capitol Hill Lincoln Park,0,1,87
Capitol Hill Lincoln Park,8,10,88
Capitol Hill Lincoln Park,17,9,89
Capitol View Marshall Heights Benning Heights,28,18,109
Capitol View Marshall Heights Benning Heights,13,16,164
Capitol View Marshall Heights Benning Heights,13,14,165
Capitol View Marshall Heights Benning Heights,25,26,166
Capitol View Marshall Heights Benning Heights,5,6,167
Capitol View Marshall Heights Benning Heights,9,5,168
Cathedral Heights McLean Gardens Glover Park,1,11,9
Cathedral Heights McLean Gardens Glover Park,2,6,10
Cathedral Heights McLean Gardens Glover Park,3,2,16
Cleveland Park Woodley Park Mass Ave Heights,7,2,5
Cleveland Park Woodley Park Mass Ave Heights,6,1,6
Cleveland Park Woodley Park Mass Ave Heights,7,8,7
Cleveland Park Woodley Park Mass Ave Heights,13,5,8
Colonial Village Shepherd Park N Portal,13,25,24
Columbia Heights Mt. Pleasant Park View,5,15,42
Columbia Heights Mt. Pleasant Park View,14,19,43
Columbia Heights Mt. Pleasant Park View,20,17,44
Columbia Heights Mt. Pleasant Park View,17,8,45
Columbia Heights Mt. Pleasant Park View,6,17,46
Columbia Heights Mt. Pleasant Park View,5,8,47
Columbia Heights Mt. Pleasant Park View,12,22,48
Columbia Heights Mt. Pleasant Park View,12,18,49
Columbia Heights Mt. Pleasant Park View,18,7,53
Columbia Heights Mt. Pleasant Park View,8,5,54
Columbia Heights Mt. Pleasant Park View,7,10,55
Congress Heights Bellevue Washington Highlands,11,5,93
Congress Heights Bellevue Washington Highlands,5,15,154
Congress Heights Bellevue Washington Highlands,9,13,155
Congress Heights Bellevue Washington Highlands,8,6,156
Congress Heights Bellevue Washington Highlands,8,13,157
Congress Heights Bellevue Washington Highlands,8,7,158
Congress Heights Bellevue Washington Highlands,14,22,159
Congress Heights Bellevue Washington Highlands,8,9,160
Congress Heights Bellevue Washington Highlands,16,18,161
Congress Heights Bellevue Washington Highlands,26,33,172
Deanwood Burrville Lincoln Heights,17,32,113
Deanwood Burrville Lincoln Heights,13,20,114
Deanwood Burrville Lincoln Heights,6,16,115
Deanwood Burrville Lincoln Heights,15,22,116
Deanwood Burrville Lincoln Heights,15,16,117
Douglass Shipley Terrace,25,21,95
Douglass Shipley Terrace,17,17,96
Douglass Shipley Terrace,21,40,100
Downtown Chinatown Penn MV Square N Capitol St,10,5,66
Downtown Chinatown Penn MV Square N Capitol St,3,3,67
Downtown Chinatown Penn MV Square N Capitol St,15,14,78
Downtown Chinatown Penn MV Square N Capitol St,1,3,79
Downtown Chinatown Penn MV Square N Capitol St,14,5,169
Dupont Circle Connecticut Avenue/K Street,10,7,61
Dupont Circle Connecticut Avenue/K Street,18,4,62
Dupont Circle Connecticut Avenue/K Street,14,9,75
Dupont Circle Connecticut Avenue/K Street,31,24,76
Dupont Circle Connecticut Avenue/K Street,31,21,175
Eastland Gardens Kenilworth,8,9,150
