N_Name,Difference,Burglary_2,Burglary_3,OBJECTID
Brightwood Park Crestwood Petworth,-14.2857,6,7,30
Brightwood Park Crestwood Petworth,-23.8095,16,21,31
Brightwood Park Crestwood Petworth,-27.7778,13,18,32
Brightwood Park Crestwood Petworth,-70,6,20,33
Brightwood Park Crestwood Petworth,-58.3333,5,12,34
Brightwood Park Crestwood Petworth,-6.66667,14,15,35
Brightwood Park Crestwood Petworth,-85.7143,1,7,36
Brightwood Park Crestwood Petworth,100,8,4,38
Brightwood Park Crestwood Petworth,-7.69231,12,13,39
Brightwood Park Crestwood Petworth,-34.7826,15,23,40
Brightwood Park Crestwood Petworth,-33.3333,6,9,41
Brookland Brentwood Langdon,-8.69565,21,23,136
Brookland Brentwood Langdon,-34.2105,25,38,140
Brookland Brentwood Langdon,-38.8889,11,18,141
Capitol Hill Lincoln Park,200,9,3,82
Capitol Hill Lincoln Park,40,7,5,83
Capitol Hill Lincoln Park,22.2222,11,9,84
Capitol Hill Lincoln Park,-71.4286,4,14,85
Capitol Hill Lincoln Park,-50,5,10,86
Capitol Hill Lincoln Park,-100,0,1,87
Capitol Hill Lincoln Park,-20,8,10,88
Capitol Hill Lincoln Park,88.8889,17,9,89
Capitol View Marshall Heights Benning Heights,55.5556,28,18,109
Capitol View Marshall Heights Benning Heights,-18.75,13,16,164
Capitol View Marshall Heights Benning Heights,-7.14286,13,14,165
Capitol View Marshall Heights Benning Heights,-3.84615,25,26,166
Capitol View Marshall Heights Benning Heights,-16.6667,5,6,167
Capitol View Marshall Heights Benning Heights,80,9,5,168
Cathedral Heights McLean Gardens Glover Park,-90.9091,1,11,9
Cathedral Heights McLean Gardens Glover Park,-66.6667,2,6,10
Cathedral Heights McLean Gardens Glover Park,50,3,2,16
Cleveland Park Woodley Park Mass Ave Heights,250,7,2,5
Cleveland Park Woodley Park Mass Ave Heights,500,6,1,6
Cleveland Park Woodley Park Mass Ave Heights,-12.5,7,8,7
Cleveland Park Woodley Park Mass Ave Heights,160,13,5,8
Colonial Village Shepherd Park N Portal,-48,13,25,24
Columbia Heights Mt. Pleasant Park View,-66.6667,5,15,42
Columbia Heights Mt. Pleasant Park View,-26.3158,14,19,43
Columbia Heights Mt. Pleasant Park View,17.6471,20,17,44
