Cereal Name,Manufacturer,Type,att,Predicted,StdResid
,DC Census Tracts,,28.605,33.55552674,-2.944147982
Georgetown,Outlier,,21.23453736,24.73516521,-2.212192086
,DC Census Tracts,,31.48669202,35.2709432,-2.116613521
,DC Census Tracts,C,29.53027523,33.26704884,-2.064025535
,DC Census Tracts,C,25.84733894,28.95810578,-1.76713751
,DC Census Tracts,,24.89469862,27.9864139,-1.677464857
,DC Census Tracts,,19.17801556,21.64236642,-1.476920774
,DC Census Tracts,C,28.97327707,31.47093512,-1.408439044
,DC Census Tracts,,22.14133089,24.67537541,-1.397642191
,DC Census Tracts,C,25.49711571,27.37693032,-1.268588841
,DC Census Tracts,C,28.85846154,31.07570822,-1.223723999
,DC Census Tracts,,30.38497653,32.46148892,-1.211019224
,DC Census Tracts,C,21.10089186,23.30456163,-1.186492379
,DC Census Tracts,C,27.0438247,29.04049321,-1.113598411
,DC Census Tracts,C,27.49022674,29.51159357,-1.099129434
,DC Census Tracts,C,27.7388535,29.78654924,-1.084105683
,DC Census Tracts,C,29.7069209,31.55020529,-1.055530333
,DC Census Tracts,,34.97764531,36.71331705,-1.055244146
,DC Census Tracts,C,27.53634895,29.38031312,-1.029077265
,DC Census Tracts,C,24.28605654,26.21023084,-1.021754797
,DC Census Tracts,,31.74119886,33.30344249,-0.984384599
,DC Census Tracts,C,29.23378475,30.94343076,-0.961237438
,DC Census Tracts,C,33.20738636,34.95210876,-0.954927746
,DC Census Tracts,C,28.11702515,29.81506194,-0.916920828
,DC Census Tracts,C,27.35865553,28.9886755,-0.897131633
,DC Census Tracts,C,30.3960396,32.07013384,-0.895355239
,DC Census Tracts,C,30.24114931,31.93252154,-0.889162001
,DC Census Tracts,C,27.38653748,28.97802516,-0.875817349
,DC Census Tracts,C,25.26461538,26.89201171,-0.845712316
,DC Census Tracts,,23.14849624,24.68017146,-0.804832525
,DC Census Tracts,C,28.33462133,29.7708113,-0.765946831
,DC Census Tracts,C,31.8616188,33.22171483,-0.740887166
,DC Census Tracts,C,28.15164221,29.44318127,-0.740184525
,DC Census Tracts,,29.58795563,30.7619591,-0.681516225
,DC Census Tracts,C,27.74911817,28.91482637,-0.667721098
,DC Census Tracts,,28.18006431,29.41919173,-0.65956752
,DC Census Tracts,C,31.85117302,33.06554092,-0.653244425
,DC Census Tracts,,35.79406632,36.62068992,-0.631555838
,DC Census Tracts,C,25.18928901,26.31360471,-0.598063293
,DC Census Tracts,C,29.59428571,30.51311005,-0.567497319
,DC Census Tracts,,30.94367015,31.76855094,-0.448811046
,DC Census Tracts,C,24.3514229,25.19961632,-0.443221774
,DC Census Tracts,C,28.11728395,28.9243697,-0.423316295
,DC Census Tracts,,28.53396389,29.00976158,-0.410501993
,DC Census Tracts,H,22.85513756,23.60907513,-0.403985885
,DC Census Tracts,C,28.27090733,28.93299,-0.365162144
,DC Census Tracts,,29.99275887,30.64264533,-0.343926881
,DC Census Tracts,C,28.65619546,29.2807111,-0.338520488
,DC Census Tracts,C,31.52166437,32.09464471,-0.314806296
,DC Census Tracts,,30.71876634,31.26660151,-0.312175126
