Cereal Name,Manufacturer,Type,pbus,Travel (min)
,DC Census Tracts,C,10.05426109,24.99261448
,DC Census Tracts,C,19.04059041,27.01712146
,DC Census Tracts,C,8.237547893,27.38653748
,DC Census Tracts,C,21.64674635,25.84733894
,DC Census Tracts,C,8.349590324,27.28801843
,DC Census Tracts,C,1.93869531,29.59428571
,DC Census Tracts,C,7.37704918,30.54510475
,DC Census Tracts,C,5.417754569,29.23378475
,DC Census Tracts,C,4.151493081,31.11581377
,DC Census Tracts,C,5.864994467,27.35865553
,DC Census Tracts,C,7.567879838,32.41454319
,DC Census Tracts,C,10.24067957,33.27542156
,DC Census Tracts,C,31.65775401,29.53027523
,DC Census Tracts,C,26.75619835,34.0720524
,DC Census Tracts,C,31.50877193,31.85117302
,DC Census Tracts,C,22.10109019,31.8616188
,DC Census Tracts,C,18.64850707,33.44919786
,DC Census Tracts,C,11.64241164,30.38592751
,DC Census Tracts,C,20.5658583,31.74774323
,DC Census Tracts,C,33.19810683,31.52166437
,DC Census Tracts,H,22.46412667,32.50933333
,DC Census Tracts,C,27.64530551,30.3960396
,DC Census Tracts,C,12.02812731,28.33462133
,DC Census Tracts,C,19.85094851,29.20600858
,DC Census Tracts,C,29.94730679,28.85846154
,DC Census Tracts,C,25.31926707,28.65619546
,DC Census Tracts,C,33.22338831,28.27090733
,DC Census Tracts,C,27.00250313,31.10728346
,DC Census Tracts,C,19.75633849,28.51403509
,DC Census Tracts,C,18.09002945,29.03388278
,DC Census Tracts,C,7.110862262,24.3514229
,DC Census Tracts,C,14.96688742,25.62345896
,DC Census Tracts,C,9.581126625,27.59769539
,DC Census Tracts,C,22.85714286,28.11728395
,DC Census Tracts,C,7.722007722,25.18833536
,DC Census Tracts,C,12.27988879,24.28605654
,DC Census Tracts,C,15.97970831,24.01045069
,DC Census Tracts,C,8.100493073,22.98734485
,DC Census Tracts,C,6.956845238,24.94671901
,DC Census Tracts,C,4.578675838,25.67216448
,DC Census Tracts,C,3.696303696,21.79487179
,DC Census Tracts,C,6.009852217,23.10344828
,DC Census Tracts,H,3.400309119,22.85513756
,DC Census Tracts,C,1.107538407,27.83873487
,DC Census Tracts,C,4.31372549,28.15164221
,DC Census Tracts,C,3.179487179,21.10089186
,DC Census Tracts,C,5.139500734,27.0438247
,DC Census Tracts,C,22.50696379,33.20738636
,DC Census Tracts,C,29.34169279,38.92538265
,DC Census Tracts,C,9.040683074,30.83419958
,DC Census Tracts,C,10.76523995,27.7388535
,DC Census Tracts,C,13.49775785,30.07364144
,DC Census Tracts,C,3.8124678,24.02459016
,DC Census Tracts,C,2.888503755,25.05441354
