Cereal Name,Manufacturer,Type,income,Travel (min),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
,DC Census Tracts,C,175048,24.99261448,1,130,10,5,6,3,280,25,1,0.33
,DC Census Tracts,C,125078,27.01712146,5,15,2,8,8,3,135,0,1,-1
,DC Census Tracts,C,114152,27.38653748,1,260,9,7,5,3,320,25,1,0.33
,DC Census Tracts,C,80223,25.84733894,0,140,14,8,0,3,330,25,1,0.5
,DC Census Tracts,C,231542,27.28801843,2,200,1,14,8,3,-1,25,1,0.75
,DC Census Tracts,C,153992,29.59428571,2,180,1.5,10.5,10,1,70,25,1,0.75
,DC Census Tracts,C,149265,30.54510475,0,125,1,11,14,2,30,25,1,1
,DC Census Tracts,C,106667,29.23378475,2,210,2,18,8,3,100,25,1.33,0.75
,DC Census Tracts,C,128395,31.11581377,1,200,4,15,6,1,125,25,1,0.67
,DC Census Tracts,C,98143,27.35865553,0,210,5,13,5,3,190,25,1,0.67
,DC Census Tracts,C,112700,32.41454319,2,220,0,12,12,2,35,25,1,0.75
,DC Census Tracts,C,143194,33.27542156,2,290,2,17,1,1,105,25,1,1.25
,DC Census Tracts,C,46283,29.53027523,3,210,0,13,9,2,45,25,1,0.75
,DC Census Tracts,C,74344,34.0720524,2,140,2,13,7,3,105,25,1,0.5
,DC Census Tracts,C,63385,31.85117302,1,180,0,12,13,2,55,25,1,1
,DC Census Tracts,C,80703,31.8616188,0,280,0,22,3,1,25,25,1,1
,DC Census Tracts,C,65638,33.44919786,0,290,1,21,2,1,35,25,1,1
,DC Census Tracts,C,96667,30.38592751,0,90,1,13,12,2,20,25,1,1
,DC Census Tracts,C,87043,31.74774323,1,180,0,12,13,2,65,25,1,1
,DC Census Tracts,C,49338,31.52166437,3,140,4,10,7,3,160,25,1,0.5
,DC Census Tracts,H,70238,32.50933333,0,80,1,21,0,2,-1,0,1,1
,DC Census Tracts,C,80848,30.3960396,0,220,1,21,3,3,30,25,1,1
,DC Census Tracts,C,105132,28.33462133,1,140,2,11,10,3,120,25,1,0.75
,DC Census Tracts,C,112500,29.20600858,0,190,1,18,5,3,80,25,1,0.75
,DC Census Tracts,C,91250,28.85846154,1,125,1,11,13,2,30,25,1,1
,DC Census Tracts,C,73232,28.65619546,0,200,1,14,11,1,25,25,1,0.75
,DC Census Tracts,C,92885,28.27090733,0,0,3,14,7,2,100,25,1,0.8
,DC Census Tracts,C,89662,31.10728346,0,240,5,14,12,3,190,25,1.33,0.67
,DC Census Tracts,C,104775,28.51403509,1,135,0,13,12,2,25,25,1,0.75
,DC Census Tracts,C,90886,29.03388278,0,45,0,11,15,1,40,25,1,0.88
,DC Census Tracts,C,123456,24.3514229,1,280,0,15,9,2,45,25,1,0.75
,DC Census Tracts,C,96650,25.62345896,1,140,3,15,5,3,85,25,1,0.88
,DC Census Tracts,C,102308,27.59769539,0,170,3,17,3,3,90,25,1,0.25
,DC Census Tracts,C,80000,28.11728395,3,75,3,13,4,3,100,25,1,0.33
