N_Name,AVG_TRAVEL,GEOID
Georgetown Burleith/Hillandale,No Data,11001000201
Cleveland Park Woodley Park Mass Ave Heights,No Data,11001000400
Cleveland Park Woodley Park Mass Ave Heights,No Data,11001000600
Cathedral Heights McLean Gardens Glover Park,No Data,11001000702
Hawthorne Barnaby Woods Chevy Chase,No Data,11001001500
No Cluster,No Data,11001002302
Brightwood Park Crestwood Petworth,No Data,11001002502
Brightwood Park Crestwood Petworth,No Data,11001002600
Columbia Heights Mt. Pleasant Park View,No Data,11001002701
Downtown Chinatown Penn MV Square N Capitol St,No Data,11001004701
Shaw Logan Circle,No Data,11001004801
No Cluster,No Data,11001006202
Southwest/Waterfront Fort McNair Buzzard Point,No Data,11001006400
Capitol Hill Lincoln Park,No Data,11001006804
No Cluster,No Data,11001007301
Sheridan Barry Farm Buena Vista,No Data,11001007401
Douglass Shipley Terrace,No Data,11001007403
Douglass Shipley Terrace,No Data,11001007404
Woodland/Fort Stanton Garfield Heights Knox Hill,No Data,11001007408
Douglass Shipley Terrace,No Data,11001007409
Historic Anacostia,No Data,11001007504
Twining Fairlawn Fort Davis Park Dupont Park,No Data,11001007601
Fairfax Village Hillcrest Summit Park,No Data,11001007603
River Terrace Benning Greenway Fort Dupont,No Data,11001007703
Capitol View Marshall Heights Benning Heights,No Data,11001007707
River Terrace Benning Greenway Fort Dupont,No Data,11001007708
Twining Fairlawn Fort Davis Park Dupont Park,No Data,11001007709
Mayfair Hillbrook Mahaning Heights,No Data,11001007803
Deanwood Burrville Lincoln Heights,No Data,11001007806
Deanwood Burrville Lincoln Heights,No Data,11001007807
Deanwood Burrville Lincoln Heights,No Data,11001007808
Deanwood Burrville Lincoln Heights,No Data,11001007809
NoMa Union Station Stanton Park Kingman Park,No Data,11001007901
Ivy City Arboretum Trinidad Carver Langston,No Data,11001008803
Ivy City Arboretum Trinidad Carver Langston,No Data,11001008804
Ivy City Arboretum Trinidad Carver Langston,No Data,11001008903
Edgewood Bloomingdale Truxton Circle Eckington,No Data,11001009204
Brookland Brentwood Langdon,No Data,11001009301
Brookland Brentwood Langdon,No Data,11001009302
N Michigan Park Michigan Park University Heights,No Data,11001009503
Lamond Riggs Fort Totten Pleasant Hill,No Data,11001009505
Lamond Riggs Fort Totten Pleasant Hill,No Data,11001009507
Eastland Gardens Kenilworth,No Data,11001009601
River Terrace Benning Greenway Fort Dupont,No Data,11001009603
River Terrace Benning Greenway Fort Dupont,No Data,11001009604
Congress Heights Bellevue Washington Highlands,No Data,11001009801
Congress Heights Bellevue Washington Highlands,No Data,11001009802
Congress Heights Bellevue Washington Highlands,No Data,11001009803
Congress Heights Bellevue Washington Highlands,No Data,11001009807
Congress Heights Bellevue Washington Highlands,No Data,11001009810
Congress Heights Bellevue Washington Highlands,No Data,11001009811
Twining Fairlawn Fort Davis Park Dupont Park,No Data,11001009901
Twining Fairlawn Fort Davis Park Dupont Park,No Data,11001009902
Capitol View Marshall Heights Benning Heights,No Data,11001009903
Capitol View Marshall Heights Benning Heights,No Data,11001009905
Capitol View Marshall Heights Benning Heights,No Data,11001009906
No Cluster,No Data,11001010900
West End Foggy Bottom GWU,19.18,11001010800
Capitol Hill Lincoln Park,21.10,11001007000
Georgetown Burleith/Hillandale,21.23,11001000202
Downtown Chinatown Penn MV Square N Capitol St,21.79,11001005800
Downtown Chinatown Penn MV Square N Capitol St,21.91,11001010100
Near Southeast Navy Yard,22.14,11001007200
Capitol Hill Lincoln Park,22.86,11001006500
Shaw Logan Circle,22.99,11001005002
Downtown Chinatown Penn MV Square N Capitol St,23.10,11001005900
Downtown Chinatown Penn MV Square N Capitol St,23.15,11001004702
Shaw Logan Circle,24.01,11001005001
NoMa Union Station Stanton Park Kingman Park,24.02,11001008200
Dupont Circle Connecticut Avenue/K Street,24.19,11001010700
Dupont Circle Connecticut Avenue/K Street,24.28,11001005301
Shaw Logan Circle,24.29,11001004902
Kalorama Heights Adams Morgan Lanier Heights,24.35,11001004100
Shaw Logan Circle,24.89,11001004901
Shaw Logan Circle,24.95,11001005201
Georgetown Burleith/Hillandale,24.99,11001000100
NoMa Union Station Stanton Park Kingman Park,25.05,11001008301
Howard University Le Droit Park Cardozo/Shaw,25.19,11001004400
Shaw Logan Circle,25.19,11001004802
West End Foggy Bottom GWU,25.21,11001005600
Southwest/Waterfront Fort McNair Buzzard Point,25.26,11001010200
Spring Valley Palisades Wesley Heights Foxhall,25.50,11001000801
Dupont Circle Connecticut Avenue/K Street,25.62,11001004201
Dupont Circle Connecticut Avenue/K Street,25.67,11001005500
Capitol Hill Lincoln Park,25.80,11001006600
Cathedral Heights McLean Gardens Glover Park,25.85,11001000701
Cathedral Heights McLean Gardens Glover Park,26.89,11001001002
Georgetown Burleith/Hillandale,27.02,11001000300
Near Southeast Navy Yard,27.04,11001007100
Spring Valley Palisades Wesley Heights Foxhall,27.29,11001000901
NoMa Union Station Stanton Park Kingman Park,27.32,11001008302
North Cleveland Park Forest Hills Van Ness,27.36,11001001302
Cleveland Park Woodley Park Mass Ave Heights,27.39,11001000502
NoMa Union Station Stanton Park Kingman Park,27.49,11001008402
Howard University Le Droit Park Cardozo/Shaw,27.54,11001003400
Dupont Circle Connecticut Avenue/K Street,27.60,11001004202
NoMa Union Station Stanton Park Kingman Park,27.74,11001008002
Southwest/Waterfront Fort McNair Buzzard Point,27.75,11001011000
Capitol Hill Lincoln Park,27.84,11001006700
Southwest/Waterfront Fort McNair Buzzard Point,28.03,11001010500
Lamond Riggs Fort Totten Pleasant Hill,28.12,11001009501
Howard University Le Droit Park Cardozo/Shaw,28.12,11001004300
Capitol Hill Lincoln Park,28.15,11001006900
Edgewood Bloomingdale Truxton Circle Eckington,28.18,11001004600
Kalorama Heights Adams Morgan Lanier Heights,28.27,11001003800
Edgewood Bloomingdale Truxton Circle Eckington,28.33,11001003301
Cleveland Park Woodley Park Mass Ave Heights,28.45,11001000501
Kalorama Heights Adams Morgan Lanier Heights,28.51,11001004001
Spring Valley Palisades Wesley Heights Foxhall,28.53,11001000902
Sheridan Barry Farm Buena Vista,28.61,11001007407
Columbia Heights Mt. Pleasant Park View,28.66,11001003700
Columbia Heights Mt. Pleasant Park View,28.86,11001003600
Woodridge Fort Lincoln Gateway,28.97,11001011100
Kalorama Heights Adams Morgan Lanier Heights,29.03,11001004002
NoMa Union Station Stanton Park Kingman Park,29.20,11001010600
Edgewood Bloomingdale Truxton Circle Eckington,29.21,11001003302
North Cleveland Park Forest Hills Van Ness,29.23,11001001200
Edgewood Bloomingdale Truxton Circle Eckington,29.31,11001009201
Spring Valley Palisades Wesley Heights Foxhall,29.32,11001000802
Takoma Brightwood Manor Park,29.53,11001001804
Capitol Hill Lincoln Park,29.59,11001006802
Friendship Heights AU Park Tenleytown,29.59,11001001001
N Michigan Park Michigan Park University Heights,29.71,11001009509
Capitol Hill Lincoln Park,29.83,11001006801
N Michigan Park Michigan Park University Heights,29.99,11001009504
NoMa Union Station Stanton Park Kingman Park,30.07,11001008100
Edgewood Bloomingdale Truxton Circle Eckington,30.15,11001008702
Ivy City Arboretum Trinidad Carver Langston,30.24,11001008802
Edgewood Bloomingdale Truxton Circle Eckington,30.37,11001008701
Deanwood Burrville Lincoln Heights,30.38,11001007804
Brightwood Park Crestwood Petworth,30.39,11001002400
Columbia Heights Mt. Pleasant Park View,30.40,11001003200
Friendship Heights AU Park Tenleytown,30.55,11001001100
Lamond Riggs Fort Totten Pleasant Hill,30.72,11001009508
NoMa Union Station Stanton Park Kingman Park,30.83,11001008001
Brightwood Park Crestwood Petworth,30.94,11001002301
Kalorama Heights Adams Morgan Lanier Heights,31.11,11001003900
North Cleveland Park Forest Hills Van Ness,31.12,11001001301
Ivy City Arboretum Trinidad Carver Langston,31.49,11001008904
