N_Name,P_BUS,PP_BUS,GEOID
No Cluster,No Data,No Data,11001002302
No Cluster,No Data,No Data,11001006202
Capitol Hill Lincoln Park,No Data,No Data,11001006804
No Cluster,No Data,No Data,11001007301
No Cluster,No Data,No Data,11001010900
Hawthorne Barnaby Woods Chevy Chase,0.009804,1.0,11001001500
Capitol Hill Lincoln Park,0.011075,1.1,11001006700
Georgetown Burleith/Hillandale,0.018003,1.8,11001000201
West End Foggy Bottom GWU,0.018089,1.8,11001005600
Friendship Heights AU Park Tenleytown,0.019387,1.9,11001001001
Near Southeast Navy Yard,0.02184,2.2,11001007200
Capitol Hill Lincoln Park,0.022036,2.2,11001006600
Cleveland Park Woodley Park Mass Ave Heights,0.024813,2.5,11001000501
Capitol Hill Lincoln Park,0.025765,2.6,11001006801
NoMa Union Station Stanton Park Kingman Park,0.028885,2.9,11001008301
Capitol Hill Lincoln Park,0.031795,3.2,11001007000
Capitol Hill Lincoln Park,0.034003,3.4,11001006500
Downtown Chinatown Penn MV Square N Capitol St,0.036963,3.7,11001005800
NoMa Union Station Stanton Park Kingman Park,0.038125,3.8,11001008200
North Cleveland Park Forest Hills Van Ness,0.041515,4.2,11001001301
Lamond Riggs Fort Totten Pleasant Hill,0.041645,4.2,11001009508
West End Foggy Bottom GWU,0.042928,4.3,11001010800
Capitol Hill Lincoln Park,0.043137,4.3,11001006900
Dupont Circle Connecticut Avenue/K Street,0.045787,4.6,11001005500
Cleveland Park Woodley Park Mass Ave Heights,0.048906,4.9,11001000400
Near Southeast Navy Yard,0.051395,5.1,11001007100
North Cleveland Park Forest Hills Van Ness,0.054178,5.4,11001001200
N Michigan Park Michigan Park University Heights,0.054229,5.4,11001009503
Dupont Circle Connecticut Avenue/K Street,0.056594,5.7,11001005301
North Cleveland Park Forest Hills Van Ness,0.05865,5.9,11001001302
Downtown Chinatown Penn MV Square N Capitol St,0.060099,6.0,11001005900
Brookland Brentwood Langdon,0.062334,6.2,11001009301
Downtown Chinatown Penn MV Square N Capitol St,0.06317,6.3,11001004702
Dupont Circle Connecticut Avenue/K Street,0.063813,6.4,11001010700
NoMa Union Station Stanton Park Kingman Park,0.066176,6.6,11001010600
Eastland Gardens Kenilworth,0.067454,6.7,11001009601
Shaw Logan Circle,0.069568,7.0,11001005201
Cleveland Park Woodley Park Mass Ave Heights,0.071,7.1,11001000600
Kalorama Heights Adams Morgan Lanier Heights,0.071109,7.1,11001004100
NoMa Union Station Stanton Park Kingman Park,0.071248,7.1,11001008302
Southwest/Waterfront Fort McNair Buzzard Point,0.072059,7.2,11001006400
Friendship Heights AU Park Tenleytown,0.07377,7.4,11001001100
Capitol Hill Lincoln Park,0.07511,7.5,11001006802
Hawthorne Barnaby Woods Chevy Chase,0.075679,7.6,11001001401
N Michigan Park Michigan Park University Heights,0.076977,7.7,11001009509
Howard University Le Droit Park Cardozo/Shaw,0.07722,7.7,11001004400
Shaw Logan Circle,0.078273,7.8,11001004901
Spring Valley Palisades Wesley Heights Foxhall,0.07966,8.0,11001000902
Shaw Logan Circle,0.081005,8.1,11001005002
Southwest/Waterfront Fort McNair Buzzard Point,0.082111,8.2,11001010200
Cleveland Park Woodley Park Mass Ave Heights,0.082375,8.2,11001000502
Spring Valley Palisades Wesley Heights Foxhall,0.083496,8.3,11001000901
Southwest/Waterfront Fort McNair Buzzard Point,0.087462,8.7,11001010500
NoMa Union Station Stanton Park Kingman Park,0.090407,9.0,11001008001
