Cereal Name,Manufacturer,Type,pbus,Travel (min),StdResid
"Capitol View, Marshall Heights, Benning Heights",Outlier,DCCENSUS,3.460208,9.503467361,-1.93268967
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",DCCENSUS,DCCENSUS,2.818489,8.199089784,-1.720765152
"Howard University, Le Droit Park, Cardozo/Shaw",DCCENSUS,DCCENSUS,2.120441,6.505470888,-1.40237259
No Data,DCCENSUS,DCCENSUS,2.339181,6.721968919,-1.401655507
"Takoma, Brightwood, Manor Park",DCCENSUS,DCCENSUS,3.243594,7.271018192,-1.28800708
"Edgewood, Bloomingdale, Truxton Circle, Eckington",DCCENSUS,DCCENSUS,5.181347,9.198969972,-1.284872477
"Deanwood, Burrville, Lincoln Heights",DCCENSUS,DCCENSUS,2.331546,6.339794852,-1.281874654
"Brightwood Park, Crestwood, Petworth",DCCENSUS,DCCENSUS,2.699784,6.531416822,-1.225391158
"Edgewood, Bloomingdale, Truxton Circle, Eckington",DCCENSUS,DCCENSUS,2.763194,6.144028523,-1.081221711
Historic Anacostia,DCCENSUS,DCCENSUS,7.423905,10.79350484,-1.077628761
"Congress Heights, Bellevue, Washington Highlands",DCCENSUS,DCCENSUS,4.470273,7.451040992,-0.953276936
"Ivy City, Arboretum, Trinidad, Carver Langston",DCCENSUS,DCCENSUS,5.772006,8.622440136,-0.911594896
"Douglass, Shipley Terrace",DCCENSUS,DCCENSUS,2.630195,5.291978538,-0.851262774
"Capitol View, Marshall Heights, Benning Heights",DCCENSUS,DCCENSUS,3.577818,6.179264371,-0.831966411
"Woodridge, Fort Lincoln, Gateway",DCCENSUS,DCCENSUS,3.279764,5.539710383,-0.72275157
"Twining, Fairlawn, Fort Davis Park, Dupont Park",DCCENSUS,DCCENSUS,2.3912,4.648047167,-0.721760219
"Lamond Riggs, Fort Totten, Pleasant Hill",DCCENSUS,DCCENSUS,6.131208,8.296862379,-0.692596067
"Cathedral Heights, McLean Gardens, Glover Park",DCCENSUS,DCCENSUS,3.015682,5.066591562,-0.655899767
"Downtown, Chinatown, Penn, MV Square, N Capitol St",DCCENSUS,DCCENSUS,3.469813,5.475077527,-0.641302046
"Columbia Heights, Mt. Pleasant, Park View",DCCENSUS,DCCENSUS,2.479544,4.462658319,-0.634218124
"Twining, Fairlawn, Fort Davis Park, Dupont Park",DCCENSUS,DCCENSUS,4.618938,6.423308865,-0.577054387
"Downtown, Chinatown, Penn, MV Square, N Capitol St",DCCENSUS,DCCENSUS,2.23314,3.867087449,-0.522551405
"Sheridan, Barry Farm, Buena Vista",DCCENSUS,DCCENSUS,7.315289,8.81495215,-0.479606041
"Ivy City, Arboretum, Trinidad, Carver Langston",DCCENSUS,DCCENSUS,4.095004,5.502573461,-0.450153504
"Douglass, Shipley Terrace",DCCENSUS,DCCENSUS,7.905138,9.073093319,-0.373522735
"Deanwood, Burrville, Lincoln Heights",DCCENSUS,DCCENSUS,6.222776,7.222942301,-0.319862452
Historic Anacostia,DCCENSUS,DCCENSUS,10.791367,11.71626078,-0.295789383
"Congress Heights, Bellevue, Washington Highlands",DCCENSUS,DCCENSUS,9.263548,10.0830306,-0.262078129
"NoMa, Union Station, Stanton Park, Kingman Park",DCCENSUS,DCCENSUS,5.06201,5.718692278,-0.210013088
"Fairfax Village, Hillcrest, Summit Park",DCCENSUS,DCCENSUS,5.310674,5.940481715,-0.20141816
"Brightwood Park, Crestwood, Petworth",DCCENSUS,DCCENSUS,2.349072,2.964482375,-0.196813827
"Dupont Circle, Connecticut Avenue/K Street",DCCENSUS,DCCENSUS,1.507841,2.078621361,-0.182540852
"Brookland, Brentwood, Langdon",DCCENSUS,DCCENSUS,3.782148,4.275031405,-0.157628499
"Capitol View, Marshall Heights, Benning Heights",DCCENSUS,DCCENSUS,4.521818,4.892828184,-0.118652489
"Douglass, Shipley Terrace",DCCENSUS,DCCENSUS,8.571429,8.917091738,-0.11054621
"Woodland/Fort Stanton, Garfield Heights, Knox Hill",DCCENSUS,DCCENSUS,5.595971,5.83356844,-0.075985911
"Brightwood Park, Crestwood, Petworth",DCCENSUS,DCCENSUS,5.032713,4.908100328,0.039852212
"Brightwood Park, Crestwood, Petworth",DCCENSUS,DCCENSUS,5.113782,4.974955369,0.044397925
