Homicide_3,OBJECTID
0.0,1
0.0,2
0.0,3
0.0,4
5.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
1.0,25
0.0,26
1.0,27
1.0,28
0.0,29
0.0,30
1.0,31
1.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
1.0,38
0.0,39
1.0,40
0.0,41
0.0,42
0.0,43
1.0,44
0.0,45
1.0,46
1.0,47
3.0,48
0.0,49
0.0,50
1.0,51
0.0,52
2.0,53
0.0,54
0.0,55
0.0,56
1.0,57
0.0,58
0.0,59
0.0,60
0.0,61
0.0,62
2.0,63
1.0,64
2.0,65
1.0,66
0.0,67
1.0,68
1.0,69
2.0,70
1.0,71
1.0,72
0.0,73
0.0,74
0.0,75
0.0,76
0.0,77
0.0,78
1.0,79
0.0,80
4.0,81
0.0,82
0.0,83
0.0,84
0.0,85
0.0,86
0.0,87
0.0,88
0.0,89
0.0,90
0.0,91
0.0,92
7.0,93
2.0,94
2.0,95
3.0,96
4.0,97
1.0,98
5.0,99
1.0,100
6.0,101
4.0,102
2.0,103
1.0,104
1.0,105
2.0,106
1.0,107
4.0,108
4.0,109
2.0,110
0.0,111
2.0,112
0.0,113
2.0,114
2.0,115
4.0,116
1.0,117
2.0,118
0.0,119
0.0,120
1.0,121
0.0,122
0.0,123
0.0,124
0.0,125
0.0,126
1.0,127
0.0,128
1.0,129
1.0,130
6.0,131
2.0,132
0.0,133
7.0,134
0.0,135
4.0,136
1.0,137
0.0,138
1.0,139
0.0,140
0.0,141
0.0,142
0.0,143
2.0,144
0.0,145
0.0,146
0.0,147
0.0,148
0.0,149
2.0,150
0.0,151
0.0,152
0.0,153
1.0,154
1.0,155
0.0,156
0.0,157
0.0,158
5.0,159
1.0,160
0.0,161
0.0,162
0.0,163
0.0,164
3.0,165
2.0,166
0.0,167
1.0,168
1.0,169
0.0,170
0.0,171
7.0,172
0.0,173
2.0,174
0.0,175
0.0,176
2.0,177
0.0,178
1.0,179
