N_Name,difference,Homicide_2,Homicide_3,OBJECTID
Brightwood Park Crestwood Petworth,No Data,0,0,33
Brightwood Park Crestwood Petworth,No Data,0,0,36
Brightwood Park Crestwood Petworth,No Data,0,0,39
Brightwood Park Crestwood Petworth,No Data,0,0,41
Brightwood Park Crestwood Petworth,-100,0,1,40
Brightwood Park Crestwood Petworth,0,1,1,38
Brightwood Park Crestwood Petworth,100,1,0,30
Brightwood Park Crestwood Petworth,100,2,1,31
Brightwood Park Crestwood Petworth,100,1,0,34
Brightwood Park Crestwood Petworth,100,2,0,35
Brightwood Park Crestwood Petworth,200,3,1,32
Brookland Brentwood Langdon,No Data,0,0,140
Brookland Brentwood Langdon,No Data,0,0,141
Brookland Brentwood Langdon,-50,2,4,136
Capitol Hill Lincoln Park,No Data,0,0,82
Capitol Hill Lincoln Park,No Data,0,0,83
Capitol Hill Lincoln Park,No Data,0,0,84
Capitol Hill Lincoln Park,No Data,0,0,85
Capitol Hill Lincoln Park,No Data,0,0,87
Capitol Hill Lincoln Park,No Data,0,0,88
Capitol Hill Lincoln Park,No Data,0,0,89
Capitol Hill Lincoln Park,100,1,0,86
Capitol View Marshall Heights Benning Heights,No Data,0,0,164
Capitol View Marshall Heights Benning Heights,-100,0,3,165
Capitol View Marshall Heights Benning Heights,-50,2,4,109
Capitol View Marshall Heights Benning Heights,-50,1,2,166
Capitol View Marshall Heights Benning Heights,0,1,1,168
Capitol View Marshall Heights Benning Heights,100,3,0,167
Cathedral Heights McLean Gardens Glover Park,No Data,0,0,9
Cathedral Heights McLean Gardens Glover Park,No Data,0,0,16
Cathedral Heights McLean Gardens Glover Park,100,1,0,10
Cleveland Park Woodley Park Mass Ave Heights,No Data,0,0,6
Cleveland Park Woodley Park Mass Ave Heights,No Data,0,0,7
Cleveland Park Woodley Park Mass Ave Heights,No Data,0,0,8
Cleveland Park Woodley Park Mass Ave Heights,-100,0,5,5
Colonial Village Shepherd Park N Portal,No Data,0,0,24
Columbia Heights Mt. Pleasant Park View,No Data,0,0,43
Columbia Heights Mt. Pleasant Park View,No Data,0,0,49
Columbia Heights Mt. Pleasant Park View,No Data,0,0,55
Columbia Heights Mt. Pleasant Park View,-100,0,1,46
Columbia Heights Mt. Pleasant Park View,-100,0,1,47
Columbia Heights Mt. Pleasant Park View,-100,0,3,48
Columbia Heights Mt. Pleasant Park View,-100,0,2,53
Columbia Heights Mt. Pleasant Park View,0,1,1,44
Columbia Heights Mt. Pleasant Park View,100,1,0,42
Columbia Heights Mt. Pleasant Park View,100,1,0,45
Columbia Heights Mt. Pleasant Park View,100,1,0,54
Congress Heights Bellevue Washington Highlands,No Data,0,0,156
Congress Heights Bellevue Washington Highlands,No Data,0,0,157
Congress Heights Bellevue Washington Highlands,No Data,0,0,158
Congress Heights Bellevue Washington Highlands,-100,0,7,93
Congress Heights Bellevue Washington Highlands,-100,0,5,159
Congress Heights Bellevue Washington Highlands,-71.43,2,7,172
Congress Heights Bellevue Washington Highlands,100,2,1,155
Congress Heights Bellevue Washington Highlands,100,3,0,161
Congress Heights Bellevue Washington Highlands,300,4,1,154
Congress Heights Bellevue Washington Highlands,300,4,1,160
Deanwood Burrville Lincoln Heights,-75,1,4,116
Deanwood Burrville Lincoln Heights,50,3,2,114
Deanwood Burrville Lincoln Heights,100,2,0,113
Deanwood Burrville Lincoln Heights,100,4,2,115
Deanwood Burrville Lincoln Heights,200,3,1,117
Douglass Shipley Terrace,0,3,3,96
Douglass Shipley Terrace,0,1,1,100
Douglass Shipley Terrace,50,3,2,95
Downtown Chinatown Penn MV Square N Capitol St,No Data,0,0,67
Downtown Chinatown Penn MV Square N Capitol St,No Data,0,0,78
Downtown Chinatown Penn MV Square N Capitol St,-100,0,1,169
Downtown Chinatown Penn MV Square N Capitol St,0,1,1,66
Downtown Chinatown Penn MV Square N Capitol St,0,1,1,79
Dupont Circle Connecticut Avenue/K Street,No Data,0,0,61
Dupont Circle Connecticut Avenue/K Street,No Data,0,0,62
