OBJECTID,NAME,ADDRESS,DIRECTOR,PHONE,AUTHORIZER,GRADES,ENROLLMENT,GIS_ID,WEB_URL,ADDRID,X,Y,AUTHORIZAT,MYSCHOOL
1,Center City PCS – Shaw,711 N STREET NW,Russ Williams,202-234-1093,,PK-4-8,0,chrt_116,http://www.centercitypcs.org/campuses/shaw/,290191,398034.11,137731.91,0,Y
2,Center City PCS – Trinidad,1217 WEST VIRGINIA AVENUE NE,Russ Williams,202-397-1614,,PK-4-8,0,chrt_117,http://www.centercitypcs.org/campuses/trinidad/,285938,400763.1,137493.55,0,Y
3,Harmony DC PCS – School of Excellence,62 T STREET NE,,,,K-6,0,chrt_43,http://www.harmonydc.org,299982,399421.3,138682.56,0,Y
4,District of Columbia International School,3220 16TH STREET NW,Mary Shaffner,202-459-4790,,6-8,0,chrt_44,http://dcinternationalschool.org,301528,396808.36,140381.96,0,Y
5,Bridges PCS - Sharpe Campus,4300 13TH STREET NW,Olivia Smith,202-545-0515,,PK-3-1,0,chrt_45,http://bridgespcs.org,255254,397358.67,141731.76,0,N
6,Friendship PCS – Southeast Elementary Academy,645 MILWAUKEE PLACE SE,Kimberly Campbell,202-562-1980,,PK-3-5,0,chrt_46,http://www.friendshipschools.org/apps/pages/index.jsp?type=d&uREC_ID=211307&pREC_ID=469659,1655,400259.75,131109.73,0,Y
7,Friendship PCS – Technology Preparatory High School Academy,2705 MARTIN LUTHER KING JR AVENUE SE,Kimberly Campbell,202-562-1681,,9-12,0,chrt_134,http://www.friendshipschools.org/apps/pages/index.jsp?type=d&uREC_ID=211308&pREC_ID=469660,289904,400331.09,131166.09,0,Y
8,Friendship PCS – Woodridge Elementary,2959 CARLTON AVENUE NE,Kimberly Campbell,202-635-6500,,PK-3-3,0,chrt_48,http://www.friendshipschools.org/apps/pages/index.jsp?type=d&uREC_ID=211309&pREC_ID=469661,42808,402903.45,140185.72,0,Y
9,Hope Community PCS – Lamond,6200 KANSAS AVENUE NE,Michael DePass,202-722-4421,,PK-3-5,0,chrt_49,http://imaginehopelamond.com/,304055,399254.07,144200.69,0,Y
10,Hope Community PCS – Tolson,2917 8TH STREET NE,Michael DePass,202-832-7370,,PK-3-8,0,chrt_50,http://www.hopecommunitycs.org,43392,400466.83,139897.04,0,Y
11,Howard University Middle School of Mathematics and Science PCS,405 HOWARD PLACE NW,Yohance C. Maqubela,202-806-7725,,6-8,0,chrt_51,http://www.howard.edu/ms2,291490,398341.18,139441.04,0,Y
12,IDEA PCS,1027 45TH STREET NE,John Goldman,202-399-4750,,9-12,0,chrt_52,http://www.ideapcs.org,75296,405455.53,137412.11,0,Y
13,KIPP DC – AIM Academy PCS,2600 DOUGLASS ROAD SE,Susan Schaeffler,202-678-5477,,5-8,0,chrt_53,http://www.kippdc.org/our-schools/kipp-dc-aim-academy/,311456,401037.32,132090.08,0,Y
14,KIPP DC – College Preparatory PCS,1405 BRENTWOOD PARKWAY NE,Susan Schaeffler,202-678-2527,,9-12,0,chrt_54,http://www.kippdc.org/our-schools/kipp-dc-college-preparatory/,311606,400556.62,137970.76,0,Y
