"LONGITUDE","LATITUDE","School","FACUSE","Avg_Evening_Count"
-77.10052732,38.92680184,"Key Elementary School","Elementary School",0.25
-77.08782619,38.93429231,"Mann Elementary School","Elementary School",0.17
-77.08099483,38.94755042,"Janney Elementary School","Elementary School",59.5
-77.0790738,38.92304465,"Stoddert Elementary School","Elementary School",1.68
-77.07519907,38.95289674,"Deal Middle School","Middle School",0.31
-77.07195522,38.94072265,"Hearst Elementary School","Elementary School",18.4
-77.07007921,38.95293352,"Murch Elementary School","Elementary School",0.73
-77.0686139,38.91550903,"Hardy Middle School","Middle School",2.29
-77.06803712,38.96662755,"Lafayette Elementary School","Elementary School",17.11
-77.06582114,38.93272707,"Eaton Elementary School","Elementary School",6.46
-77.06453782,38.90801957,"Hyde-Addison Elementary School","Elementary School",5.76
-77.05720337,38.92359583,"Oyster-Adams Bilingual School (Oyster)","Elementary School",12.33
-77.04437725,38.91730954,"Oyster-Adams Bilingual School (Adams)","Middle School",1.83
-77.040822,38.919112,"Marie Reed Elementary School","Elementary School",2.74
-77.04055344,38.93431836,"Bancroft Elementary School","Elementary School",1.29
-77.03966214,38.91239115,"Ross Elementary School","Elementary School",91.77
-77.03881058,38.92394309,"H.D. Cooke Elementary School","Elementary School",3.1
-77.03585831,38.92954477,"Columbia Heights Education Campus 6?8 (CHEC)","Middle School",17.16
-77.03399523,38.98460328,"Shepherd Elementary School","Elementary School",0.6
-77.03225306,38.95136741,"West Education Campus","Elementary School",3.31
-77.03122742,38.94153434,"Powell Elementary School","Elementary School",2.8
-77.03068885,38.96053573,"Brightwood Education Campus","Elementary School",8.7
-77.030541,38.9447,"Dorothy I. Height Elementary School","Elementary School",0.78
-77.0294433,38.92919857,"Tubman Elementary School","Elementary School",122.86
-77.02861256,38.91390129,"Garrison Elementary School","Elementary School",4.71
-77.02843003,38.90349634,"Thomson Elementary School","Elementary School",147.79
-77.02777641,38.94360856,"MacFarland Middle School","Middle School",3.21
-77.02643266,38.93581121,"Raymond Education Campus","Elementary School",70.83
-77.02574879,38.91754511,"Shaw Middle School","Middle School",57.64
-77.02507158,38.95396869,"Truesdell Education Campus","Elementary School",6.84
-77.02488247,38.9106187,"Seaton Elementary School","Elementary School",25.35
-77.02291066,38.87987093,"Jefferson Middle School Academy","Middle School",14.61
-77.02279493,38.97504287,"Takoma Education Campus","Elementary School",20.04
-77.02270718,38.91514529,"Cleveland Elementary School","Elementary School",36.4
-77.02118567,38.9344141,"Bruce-Monroe Elementary School @ Park View","Elementary School",3.71
-77.019239,38.965857,"New North Middle School","Middle School",0.65
-77.0192386,38.96585727,"Whittier Education Campus","Elementary School",2.43
-77.0181253,38.8795154,"Amidon-Bowen Elementary School","Elementary School",13.14
-77.01777708,38.94823095,"Barnard Elementary School","Elementary School",5.08
-77.01289191,38.82819678,"Leckie Elementary School","Elementary School",0.81
-77.00848471,38.82696636,"Patterson Elementary School","Elementary School",2.43
