tabblk2010,st,stusps,stname,cty,ctyname,trct,trctname,bgrp,bgrpname,cbsa,cbsaname,zcta,zctaname,stplc,stplcname,ctycsub,ctycsubname,stcd114,stcd114name,stsldl,stsldlname,stsldu,stslduname,stschool,stschoolname,stsecon,stseconname,trib,tribname,tsub,tsubname,stanrc,stanrcname,necta,nectaname,mil,milname,stwib,stwibname,createdate
110010001001000,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001001,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001002,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001003,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001004,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001005,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001006,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001007,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001008,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001009,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001010,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001001011,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001001,"1 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002000,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002001,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002002,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002003,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002004,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002005,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002006,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002007,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002008,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001002009,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001002,"2 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001003000,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001003,"3 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001003001,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001003,"3 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001003002,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001003,"3 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001003003,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001003,"3 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001003004,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001003,"3 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
110010001003005,11,DC,District of Columbia,11001,"District of Columbia, DC",11001000100,"1 (District of Columbia, DC)",110010001003,"3 (Tract 1, District of Columbia, DC)",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",20007,20007,1150000,"Washington city, DC",1100150000,"Washington city (District of Columbia, DC)",1198,DC-Delegate,99999,,11002,"Ward 2, DC",1100030,"District of Columbia Public Schools, DC",9999999,,99999,,9999999,,9999999,,99999,,9999999999999999999999,,11000001,01 District of Columbia WIB,20160222
