CA,TRIGGERTIME,INCIDENTTYPE,NUMSHOTS,LATITUDE,LONGITUDE
7D,2017-04-07 14:42:54.583,Multiple Gunshots,3,38.826,-76.997
6D,2017-04-07 00:00:35.553,Multiple Gunshots,16,38.902,-76.942
6D,2017-04-06 23:31:23.597,Multiple Gunshots,2,38.863,-76.989
7D,2017-04-06 22:33:46.727,Multiple Gunshots,7,38.827,-76.997
7D,2017-04-06 17:07:14.100,Single Gunshot,1,38.827,-76.998
6D,2017-04-06 02:16:09.067,Multiple Gunshots,9,38.885,-76.948
6D,2017-04-06 00:15:18.433,Single Gunshot,1,38.882,-76.932
7D,2017-04-05 23:05:21.550,Multiple Gunshots,3,38.854,-76.971
7D,2017-04-05 22:56:24.543,Single Gunshot,1,38.82,-76.998
6D,2017-04-05 22:27:14.800,Single Gunshot,1,38.884,-76.956
3D,2017-04-05 21:31:34.100,Multiple Gunshots,11,38.907,-77.021
3D,2017-04-05 20:37:51.260,Multiple Gunshots,22,38.908,-77.017
5D,2017-04-05 20:37:51.260,Multiple Gunshots,25,38.908,-77.017
6D,2017-04-05 19:39:01.927,Single Gunshot,1,38.861,-76.989
7D,2017-04-05 18:49:56.733,Single Gunshot,1,38.829,-77.002
6D,2017-04-05 04:08:39.817,Multiple Gunshots,6,38.909,-76.926
6D,2017-04-05 04:08:30.493,Multiple Gunshots,2,38.908,-76.926
6D,2017-04-05 04:08:25.277,Multiple Gunshots,2,38.908,-76.926
3D,2017-04-05 03:14:45.617,Single Gunshot,1,38.929,-77.038
7D,2017-04-05 02:37:15.780,Single Gunshot,1,38.859,-76.989
7D,2017-04-05 02:37:03.950,Multiple Gunshots,6,38.853,-76.985
7D,2017-04-05 02:36:56.433,Multiple Gunshots,12,38.859,-76.99
4D,2017-04-04 22:42:27.803,Multiple Gunshots,2,38.949,-77.025
6D,2017-04-04 22:29:26.743,Multiple Gunshots,5,38.892,-76.947
6D,2017-04-04 22:29:22.040,Multiple Gunshots,9,38.892,-76.949
6D,2017-04-04 22:29:13.923,Multiple Gunshots,15,38.892,-76.948
6D,2017-04-04 22:28:59.833,Multiple Gunshots,4,38.888,-76.939
6D,2017-04-04 22:28:55.740,Multiple Gunshots,6,38.892,-76.948
