"GEOID","N_Cluster","c2g_avg","c2g_median","c2g_max","c2g_min","c2g_sd","c2g_range"
"11001001001","11",12.189233278956,12,21,4,3.24239909051286,17
"11001001100","11",10.7993474714519,11,29,1,4.25001340616659,28
"11001005800","8",9.79684418145957,5,40,1,9.83963057955307,39
"11001000300","4",7.87275693311582,8,17,1,3.28446408337874,16
"11001001500","10",7.35157545605307,7,21,1,4.22370033546197,20
"11001008702","21",6.88333333333333,6,17,1,3.61914620515844,16
"11001000901","13",6.74061990212072,7,14,2,2.03713826109865,12
"11001000801","13",6.64052287581699,6,16,1,2.70808785388382,15
"11001010700","6",6.19815668202765,4,26,1,5.79698068368245,25
"11001010800","5",6.14454976303318,4,22,1,5.7083059174887,21
"11001010600","25",6.00493421052632,5,19,1,3.49605218572116,18
"11001002502","18",5.95748299319728,5,20,1,3.56443177692951,19
"11001009203","21",5.91457286432161,5,16,1,3.6200975217871,15
"11001002702","2",5.88364249578415,5,16,1,3.5391085618437,15
"11001000100","4",5.85255198487713,4,22,1,4.60494197945312,21
"11001001702","17",5.71100164203613,5,13,1,2.42896998996866,12
"11001001002","14",5.57331136738056,5,13,1,2.48244251996629,12
"11001008802","23",5.38327526132404,5,11,1,2.66241352882014,10
"11001008803","23",5.34982935153584,5,14,1,2.98637503811314,13
"11001000202","4",5.32827324478178,4,18,1,4.31070132019877,17
"11001003301","21",5.25493716337522,5,17,1,3.32631726565579,16
"11001004400","3",5.25375939849624,5,22,1,3.64703075088956,21
"11001010100","8",5.22099447513812,4,20,1,4.49201212926885,19
"11001002301","18",5.20770519262982,5,13,1,2.74602964030361,12
"11001001200","12",5.18624161073826,5,15,1,2.77755928805651,14
"11001001600","16",5.02814569536424,5,14,1,2.46114802964907,13
"11001000701","14",5.00169204737733,5,11,1,2.69996808140349,10
"11001000600","15",4.8428093645485,5,12,1,2.06154228270068,11
"11001011100","24",4.81239804241436,5,10,1,1.94424984898811,9
"11001005600","5",4.80919540229885,3,16,1,3.90650031906257,15
"11001000802","13",4.7779632721202,5,13,1,2.57900875256483,12
"11001005500","6",4.7469387755102,3,18,1,4.11109039421085,17
"11001009501","19",4.6568144499179,4,10,1,2.24461131761365,9
"11001008701","21",4.64459930313589,4,12,1,2.74497740856683,11
"11001003200","2",4.53691275167785,4,12,1,2.2544774942782,11
"11001001302","12",4.52066115702479,4,14,1,2.35541919032423,13
"11001002201","18",4.46415770609319,4,10,1,2.67536911801596,9
"11001002701","2",4.3804537521815,4,14,1,2.56763785012866,13
"11001002400","18",4.34434782608696,4,14,1,2.7667195667498,13
"11001009505","19",4.321608040201,4,9,1,1.89765452911787,8
"11001007200","27",4.28754578754579,4,17,1,2.81146255038398,16
"11001009102","22",4.08333333333333,4,13,1,2.30258377530389,12
"11001009400","24",4.05445544554455,4,9,1,1.95113993817517,8
"11001005900","8",4.00721153846154,3,15,1,3.01041499976437,14
"11001010200","9",3.95890410958904,3,11,1,2.17620599976116,10
"11001002102","18",3.93581081081081,4,9,1,1.84764944687278,8
"11001002600","18",3.93554006968641,4,8,1,1.84788685624152,7
"11001009201","21",3.91507798960139,4,10,1,1.95026655117786,9
"11001009301","22",3.77624784853701,3,16,1,2.33005557885089,15
