"GEOID","N_Cluster","N_Name","cfl_index","B02001_001","B02001_002","B02001_003","B02001_005","B03002_012","B08141_001","B08141_002","B08141_016","B08141_017","B08141_018","B08141_019","B08141_020","B08141_021","B08141_022","B08141_023","B08141_024","B08141_025","B08141_026","B08141_027","B08141_028","B08141_029","B08141_030","B08201_001","B08201_002","B08201_008","B08201_014","B08201_020","B08201_026","B19013_001","B02001_001_moe","B02001_002_moe","B02001_003_moe","B02001_005_moe","B03002_012_moe","B08141_001_moe","B08141_002_moe","B08141_016_moe","B08141_017_moe","B08141_018_moe","B08141_019_moe","B08141_020_moe","B08141_021_moe","B08141_022_moe","B08141_023_moe","B08141_024_moe","B08141_025_moe","B08141_026_moe","B08141_027_moe","B08141_028_moe","B08141_029_moe","B08141_030_moe","B08201_001_moe","B08201_002_moe","B08201_008_moe","B08201_014_moe","B08201_020_moe","B08201_026_moe","B19013_001_moe"
"11001000100","4","Georgetown, Burleith/Hillandale",87.0929577464789,5209,4784,66,256,546,3125,681,633,362,105,166,0,657,238,230,163,26,380,35,212,133,0,2435,646,417,179,50,0,175048,403,383,64,127,209,335,205,184,165,74,91,17,202,113,108,115,37,158,40,140,99,17,171,165,147,107,46,17,30804
"11001000201","4","Georgetown, Burleith/Hillandale",60.275,3685,2653,295,508,334,10,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,NA,384,403,124,177,132,10,12,12,12,12,12,12,10,12,12,12,10,12,12,12,12,12,4,12,12,12,12,12,NA
"11001000202","4","Georgetown, Burleith/Hillandale",78.4684210526316,4817,4082,358,221,284,2006,493,681,214,274,44,149,385,225,138,22,0,65,31,25,9,0,1727,371,185,75,22,89,153705,560,644,327,89,128,313,236,343,203,97,33,188,152,135,56,24,12,45,37,19,15,12,128,103,80,45,25,67,15708
"11001000300","4","Georgetown, Burleith/Hillandale",67.7708333333333,6095,5149,363,346,414,4065,608,923,146,411,273,93,620,351,154,84,31,177,35,105,16,21,2601,453,272,62,55,64,125078,625,441,343,191,224,420,321,212,81,170,141,88,328,311,109,70,50,90,58,61,22,34,113,133,99,41,61,69,15785
"11001000400","15","Cleveland Park, Woodley Park, Mass Ave Heights",63.259649122807,1578,1265,89,130,254,771,62,55,18,25,6,6,68,34,21,13,0,40,10,21,9,0,650,76,27,44,0,5,178750,147,131,64,86,110,99,42,36,27,19,8,11,38,24,25,15,12,25,16,17,10,12,43,36,20,33,12,8,67039
"11001000501","15","Cleveland Park, Woodley Park, Mass Ave Heights",66.5,3502,2855,155,149,510,2520,679,1166,495,542,65,64,193,93,64,0,36,155,40,115,0,0,1968,747,566,160,21,0,107448,338,369,74,71,224,316,205,256,198,163,55,103,115,77,62,12,60,81,46,66,12,12,141,169,158,96,33,12,6566
"11001000502","15","Cleveland Park, Woodley Park, Mass Ave Heights",69.1103448275862,2973,2560,124,164,308,2088,438,1086,401,553,132,0,139,10,104,17,8,67,9,47,11,0,1583,418,323,77,0,18,114152,205,248,67,77,95,192,151,170,150,133,70,12,61,15,58,18,13,50,14,45,13,12,98,98,83,61,12,17,12619
"11001000600","15","Cleveland Park, Woodley Park, Mass Ave Heights",68.1636363636364,4722,3824,475,203,558,2831,421,1154,337,648,136,33,143,53,0,90,0,128,0,111,17,0,2157,418,304,95,12,7,158625,335,394,190,109,253,267,167,227,153,214,94,39,93,54,12,79,12,97,12,94,27,12,135,134,117,72,19,15,52588
"11001000701","14","Cathedral Heights, McLean Gardens, Glover Park",62.396,5245,4030,357,438,225,3010,475,777,162,511,91,13,210,138,60,12,0,106,75,14,17,0,3343,708,563,96,22,27,80223,490,459,209,257,137,350,167,204,92,166,84,20,112,102,47,20,17,81,68,23,25,17,209,164,146,84,26,41,11432
"11001000702","14","Cathedral Heights, McLean Gardens, Glover Park",53.2666666666667,3316,2779,175,225,240,2421,713,835,394,402,39,0,377,209,136,20,12,78,49,29,0,0,2112,658,449,162,40,7,72346,391,413,131,118,142,359,300,299,267,173,45,12,187,129,98,31,19,71,59,35,12,12,192,173,141,88,62,12,13388
"11001000801","13","Spring Valley, Palisades, Wesley Heights, Foxhall",59.6827067669173,6575,5215,363,295,697,3039,114,349,43,207,99,0,105,17,77,11,0,126,26,70,15,15,2869,350,255,86,9,0,121265,558,527,228,104,288,395,86,120,34,106,73,17,80,27,72,20,17,82,37,65,23,22,146,130,119,76,15,17,32594
"11001000802","13","Spring Valley, Palisades, Wesley Heights, Foxhall",53.1804597701149,3153,2350,342,289,463,1646,106,320,56,187,77,0,112,42,23,47,0,42,0,13,12,17,1385,132,93,39,0,0,91307,305,302,218,149,213,178,57,135,39,108,79,12,73,39,23,51,12,32,12,21,19,28,77,62,45,42,12,12,14112
"11001000901","13","Spring Valley, Palisades, Wesley Heights, Foxhall",55.8007194244604,7790,6400,630,405,935,1901,17,257,0,49,164,44,46,0,20,17,9,133,0,62,28,43,1591,121,112,0,9,0,231542,802,847,263,142,253,221,27,94,17,34,73,39,32,17,22,19,14,60,17,41,32,33,88,44,43,17,13,17,34751
"11001000902","13","Spring Valley, Palisades, Wesley Heights, Foxhall",43.4837209302326,2455,2193,66,79,349,1290,8,134,8,44,82,0,34,0,0,11,23,70,0,31,39,0,863,20,20,0,0,0,200893,192,193,57,45,184,133,11,58,11,29,56,12,31,12,12,14,28,43,12,24,34,12,45,14,14,12,12,12,17641
"11001001001","11","Friendship Heights, AU Park, Tenleytown",70.9803571428571,7894,6587,211,424,823,3735,146,1148,73,604,441,30,160,17,71,72,0,299,0,124,158,17,2832,342,275,17,32,18,153992,467,473,97,147,251,296,101,242,74,172,144,49,85,25,57,53,17,139,17,80,116,27,85,103,90,28,34,29,8829
"11001001002","14","Cathedral Heights, McLean Gardens, Glover Park",67.6333333333333,3497,2780,194,381,248,2284,409,694,146,438,88,22,400,201,132,14,53,76,0,12,64,0,1889,447,212,192,35,8,82847,456,483,109,179,189,313,231,193,97,138,83,36,230,185,106,22,63,68,12,16,65,12,149,164,115,110,44,13,22103
