"GEOID","taxi_avg","taxi_median","taxi_max","taxi_min","taxi_sd","taxi_range"
"11001005800",122.294090909091,108,459,1,94.996203277765,458
"11001010700",105.586097228532,73,392,1,90.2644799126313,391
"11001010100",65.6247723132969,48,241,1,53.9319440056688,240
"11001005500",55.8771051433773,57,185,1,36.0871795195734,184
"11001000100",33.8640267175573,34,117,1,23.7773507641733,116
"11001010600",32.6133707339878,19,145,1,32.0258552703657,144
"11001010200",28.6930843008582,21,145,1,24.9263703133336,144
"11001010800",27.6489717838355,17,114,1,25.8566562491602,113
"11001005201",27.3307339449541,27,110,1,17.0086572026541,109
"11001005900",23.9426934097421,19,113,1,20.462464012166,112
"11001004400",21.7270220588235,11,229,1,33.8261943735096,228
"11001004300",18.2494279176201,13,180,1,19.6762144877559,179
"11001005301",14.263683960019,14,79,1,8.58470176108278,78
"11001002802",14.2145488029466,14,44,1,8.02075900205578,43
"11001000202",13.9979612640163,14,77,1,9.4072132599528,76
"11001004902",13.5731357552581,12,91,1,10.6772083750657,90
"11001004001",12.2251184834123,11,87,1,9.54716943150205,86
"11001005600",11.7339825730395,10,41,1,8.61533924076947,40
"11001003800",11.0087235996327,9,66,1,8.87319007925782,65
"11001000502",10.4315460697553,9,69,1,8.65361341640053,68
"11001007200",9.86315228966986,5,143,1,17.3178599692628,142
"11001005002",9.81019167835437,9,59,1,6.87959176777311,58
"11001000501",8.58333333333333,7,45,1,6.23417803115145,44
"11001004202",8.12374749498998,8,33,1,5.03792306972922,32
"11001004100",7.87467498699948,7,41,1,5.85058481703187,40
"11001006500",7.79445983379501,6,51,1,6.63687310326773,50
"11001009508",7.69891304347826,7,36,1,4.51022630104256,35
"11001004002",6.58608781450419,5,56,1,7.09496045152274,55
"11001010500",6.51973684210526,5,32,1,5.29010846456407,31
"11001004201",6.48175542406312,5,49,1,5.12653528813835,48
"11001003500",5.39141675284385,3,73,1,7.98364525620184,72
"11001004702",5.21152800435019,5,19,1,3.30682642162501,18
"11001002502",4.75248461902508,4,20,1,2.8863863338201,19
"11001004801",4.53731343283582,3,44,1,4.68554589119641,43
"11001003700",4.50886974151039,4,25,1,3.58376259686262,24
"11001000600",4.35110393107162,4,16,1,2.66392327153537,15
"11001002801",4.34382451120649,4,17,1,2.72946029388713,16
"11001000400",4.12554347826087,3,29,1,3.04649483077754,28
"11001003600",4.11325545962417,3,23,1,3.35423406985532,22
"11001003900",3.95674044265594,3,27,1,3.10204566480357,26
"11001001200",3.91111111111111,3,16,1,2.64380221857464,15
"11001007000",3.75921375921376,3,25,1,3.06752642587728,24
"11001008402",3.65401785714286,3,28,1,3.42418004395779,27
"11001001302",3.12246192893401,2,15,1,2.30848879967658,14
"11001004901",3.06046511627907,3,23,1,2.18111195201915,22
"11001001100",3.01084990958409,3,11,1,1.90608901489581,10
"11001002302",2.96938775510204,2,15,1,2.2265129609465,14
"11001005001",2.96259963212753,2,32,1,2.35248446890028,31
"11001003100",2.91795418220565,2,15,1,1.9009823720145,14
"11001011100",2.89198855507868,2,28,1,2.47488317357542,27
"11001008200",2.85350809560524,2,14,1,2.34556426293271,13
"11001002701",2.84712230215827,2,17,1,2.23378865380773,16
"11001000300",2.84035608308605,2,15,1,1.89918969256141,14
"11001000701",2.83702213279678,2,12,1,1.95269498476765,11
"11001004701",2.8219741480611,2,11,1,1.72184808478555,10
"11001006400",2.6844968268359,1,34,1,3.75717159321852,33
"11001002002",2.6389638424177,2,10,1,1.60073329756853,9
"11001001804",2.59267734553776,2,11,1,1.60921542424834,10
"11001002400",2.57101782633698,2,10,1,1.59291788815878,9
"11001001001",2.46344735077129,2,9,1,1.58447964922349,8
"11001002702",2.45607911576498,2,10,1,1.51446920765378,9
"11001000801",2.42522231204527,2,10,1,1.66690930204657,9
"11001008702",2.42454268292683,2,18,1,1.97939995946999,17
"11001003400",2.42255990648743,2,11,1,1.51936605501388,10
"11001003000",2.36609955891619,2,14,1,1.66718498469246,13
"11001009102",2.29187279151943,2,10,1,1.56663779688713,9
"11001000201",2.29105211406096,2,12,1,1.5729781968338,11
"11001009604",2.28354430379747,2,13,1,1.84042966133967,12
"11001002900",2.23567289117836,2,13,1,1.59851407358407,12
"11001001002",2.21687587168759,2,9,1,1.38619240426807,8
"11001008301",2.18943533697632,2,12,1,1.58749599297764,11
"11001006600",2.13726993865031,2,12,1,1.35275753190437,11
"11001001301",2.12913907284768,2,14,1,1.58802851117604,13
"11001002101",2.01415384615385,2,8,1,1.17199318180129,7
"11001009504",2.00177619893428,1,11,1,1.38242828147581,10
"11001008410",1.97820823244552,1,13,1,1.57073694728733,12
"11001000901",1.85473289597001,1,10,1,1.16245341203642,9
"11001004600",1.84936614466816,1,13,1,1.13806983798735,12
