N_Name,cfl_index,OBJECTID
Georgetown Burleith/Hillandale,87.09,1
Georgetown Burleith/Hillandale,60.27,2
Georgetown Burleith/Hillandale,78.47,3
Georgetown Burleith/Hillandale,67.77,4
Cleveland Park Woodley Park Mass Ave Heights,63.26,5
Cleveland Park Woodley Park Mass Ave Heights,66.5,6
Cleveland Park Woodley Park Mass Ave Heights,69.11,7
Cleveland Park Woodley Park Mass Ave Heights,68.16,8
Cathedral Heights McLean Gardens Glover Park,62.4,9
Cathedral Heights McLean Gardens Glover Park,53.27,10
Spring Valley Palisades Wesley Heights Foxhall,59.68,11
Spring Valley Palisades Wesley Heights Foxhall,53.18,12
Spring Valley Palisades Wesley Heights Foxhall,55.8,13
Spring Valley Palisades Wesley Heights Foxhall,43.48,14
Friendship Heights AU Park Tenleytown,70.98,15
Cathedral Heights McLean Gardens Glover Park,67.63,16
Friendship Heights AU Park Tenleytown,79.46,17
North Cleveland Park Forest Hills Van Ness,74.44,18
North Cleveland Park Forest Hills Van Ness,51.65,19
North Cleveland Park Forest Hills Van Ness,62.85,20
Hawthorne Barnaby Woods Chevy Chase,52.98,21
Hawthorne Barnaby Woods Chevy Chase,49.26,22
Hawthorne Barnaby Woods Chevy Chase,44.43,23
Colonial Village Shepherd Park N Portal,54.0,24
Takoma Brightwood Manor Park,66.5,25
Takoma Brightwood Manor Park,46.52,26
Takoma Brightwood Manor Park,56.6,27
Takoma Brightwood Manor Park,56.85,28
Takoma Brightwood Manor Park,49.78,29
Brightwood Park Crestwood Petworth,50.52,30
Brightwood Park Crestwood Petworth,64.24,31
Brightwood Park Crestwood Petworth,58.52,32
Brightwood Park Crestwood Petworth,60.53,33
Brightwood Park Crestwood Petworth,60.26,34
Brightwood Park Crestwood Petworth,55.56,35
Brightwood Park Crestwood Petworth,61.99,36
No Data,55.32,37
Brightwood Park Crestwood Petworth,71.39,38
Brightwood Park Crestwood Petworth,66.17,39
Brightwood Park Crestwood Petworth,81.62,40
Brightwood Park Crestwood Petworth,55.86,41
Columbia Heights Mt. Pleasant Park View,71.49,42
Columbia Heights Mt. Pleasant Park View,79.08,43
Columbia Heights Mt. Pleasant Park View,71.89,44
Columbia Heights Mt. Pleasant Park View,75.82,45
Columbia Heights Mt. Pleasant Park View,75.03,46
Columbia Heights Mt. Pleasant Park View,76.53,47
Columbia Heights Mt. Pleasant Park View,75.92,48
Columbia Heights Mt. Pleasant Park View,73.93,49
Edgewood Bloomingdale Truxton Circle Eckington,64.42,50
Edgewood Bloomingdale Truxton Circle Eckington,67.14,51
Howard University Le Droit Park Cardozo/Shaw,70.03,52
Columbia Heights Mt. Pleasant Park View,77.54,53
Columbia Heights Mt. Pleasant Park View,74.22,54
Columbia Heights Mt. Pleasant Park View,81.24,55
Kalorama Heights Adams Morgan Lanier Heights,83.48,56
Kalorama Heights Adams Morgan Lanier Heights,77.25,57
Kalorama Heights Adams Morgan Lanier Heights,77.85,58
Kalorama Heights Adams Morgan Lanier Heights,79.0,59
Kalorama Heights Adams Morgan Lanier Heights,68.66,60
Dupont Circle Connecticut Avenue/K Street,77.31,61
