NBH_NAMES,kwh_househ,kwh_saving,kwh_year,stormwater,co2_seques,Trees,NAME
Congress Heights Bellevue Washington Highlands,21.82,261756.16,3300834.26,5928743.23,6727396.06,7160,Cluster 39
Douglas Shipley Terrace,18.93,96202.52,1213146.55,2172857.09,2465833.99,2597,Cluster 38
Woodland/Fort Stanton Garfield Heights Knox Hill,17.69,51152.13,645045.83,1132483.64,1642135.87,1252,Cluster 36
Near Southeast Navy Yard,13.57,30557.85,385344.87,753339.26,703898.73,1181,Cluster 27
River Terrace Benning Greenway Dupont Park,16.47,116203.27,1465362.75,2651924.74,3227914.31,3291,Cluster 32
Downtown Chinatown Penn Quarters Mount Vernon Square North Capitol Street,15.31,134516.68,1696301.16,3118694.78,4068420.54,4085,Cluster 8
West End Foggy Bottom GWU,8.74,76079.46,959387.93,1709524.51,1987131.15,2004,Cluster 5
Mayfair Hillbrook Mahaning Heights,25.6,78696.44,992388.84,1736772.48,2175870.17,1895,Cluster 30
Deanwood Burrville Grant Park Lincoln Heights Fairmont Heights,29.96,164273.4,2071543.46,3728843.14,4710077.93,4539,Cluster 31
Shaw Logan Circle,9.37,130730.01,1648549.97,2821631.62,3464029.82,2790,Cluster 7
Eastland Gardens Kenilworth,70.57,55325.58,697674.43,1147354.37,1599947.78,917,Cluster 29
Ivy City Arboretum Trinidad Carver Langston,23.0,146126.75,1842708.1,3217157.57,4448813.7,3475,Cluster 23
Georgetown Burleith/Hillandale,27.48,185956.25,2344971.63,3977149.25,6674004.9,3763,Cluster 4
Dupont Circle Connecticut Avenue/K Street,21.31,178050.45,2245276.84,3931671.55,5571889.63,4300,Cluster 6
Howard University Le Droit Park Cardozo/Shaw,13.76,81016.79,1021649.27,1832694.93,2151133.07,2203,Cluster 3
Southwest Employment Area Southwest/Waterfront Fort McNair Buzzard Point,23.63,165146.93,2082559.02,3453540.86,4460214.35,2899,Cluster 9
Capitol View Marshall Heights Benning Heights,30.33,184404.27,2325400.58,4277796.29,4814872.81,5614,Cluster 33
Spring Valley Palisades Wesley Heights Foxhall Crescent Foxhall Village Georgetown Reservoir,71.83,481837.79,6076138.54,9771259.39,19829827.2,6739,Cluster 13
North Michigan Park Michigan Park University Heights,60.42,232139.43,2927357.24,4953976.9,7592361.93,4636,Cluster 20
North Cleveland Park Forest Hills Van Ness,20.57,188789.17,2380695.67,3884097.41,7511811.97,2954,Cluster 12
Brightwood Park Crestwood Petworth,36.61,535250.39,6749689.66,11465201.22,16287428.13,10930,Cluster 18
Friendship Heights American University Park Tenleytown,89.6,437942.45,5522603.43,9072266.28,15450171.67,7203,Cluster 11
Lamont Riggs Queens Chapel Fort Totten Pleasant Hill,29.03,187524.0,2364741.52,4038039.94,6168864.52,3949,Cluster 19
Takoma Brightwood Manor Park,43.03,364644.67,4598293.49,7741409.47,11784673.35,7055,Cluster 17
Colonial Village Shepherd Park North Portal Estates,109.73,169755.59,2140675.85,3589128.35,5861535.25,3201,Cluster 16
Hawthorne Barnaby Woods Chevy Chase,89.81,450747.54,5684079.99,9231015.42,16339544.72,6813,Cluster 10
Historic Anacostia,15.86,31296.91,394664.69,775893.06,863710.14,1234,Cluster 28
Fairfax Village Naylor Gardens Hillcrest Summit Park,61.8,133424.85,1682532.76,2839269.89,4211469.3,2619,Cluster 35
Sheridan Barry Farm Buena Vista,11.82,48319.92,609330.61,1066289.76,1438320.56,1163,Cluster 37
Twining Fairlawn Randle Highlands Penn Branch Fort Davis Park Fort Dupont,34.13,248178.64,3129617.12,5507959.18,7430131.73,6150,Cluster 34
Union Station Stanton Park Kingman Park,29.18,330750.29,4170873.74,7207119.74,9948751.64,7444,Cluster 25
Kalorama Heights Adams Morgan Lanier Heights,13.24,142969.61,1802895.47,3084882.24,4598552.54,3046,Cluster 1
Edgewood Bloomingdale Truxton Circle Eckington,23.34,215601.42,2718807.34,4902941.86,5785542.39,6008,Cluster 21
Columbia Heights Mt. Pleasant Pleasant Plains Park View,11.85,240847.68,3037171.31,5254752.77,7184316.38,5458,Cluster 2
Brookland Brentwood Langdon,47.39,254473.24,3208994.26,5663800.22,7906409.38,6397,Cluster 22
Woodridge Fort Lincoln Gateway,37.04,125704.95,1585182.26,2776528.7,3800531.45,3040,Cluster 24
Cathedral Heights McLean Gardens Glover Park,27.29,200441.76,2527638.81,4161906.05,6430563.67,3351,Cluster 14
Cleveland Park Woodley Park Massachusetts Avenue Heights Woodland-Normanstone Terrace,39.24,249462.23,3145803.6,5235521.66,8389064.63,4485,Cluster 15
Capitol Hill Lincoln Park,32.45,403622.88,5089822.0,8597978.3,12340035.2,7973,Cluster 26
