"GEOID","Total_15","Bach_15","Grad_15","P_Bach_15","Total_09","Bach_09","Grad_09","P_Bach_09","Total_white_15","Bach_m_white_15","Bach_f_white_15","P_Bach_white_15","Total_white_09","Bach_m_white_09","Bach_f_white_09","P_Bach_white_09","Total_black_15","Bach_m_black_15","Bach_f_black_15","P_Bach_black_15","Total_black_09","Bach_m_black_09","Bach_f_black_09","P_Bach_black_09","Total_asian_15","Bach_m_asian_15","Bach_f_asian_15","P_Bach_asian_15","Total_asian_09","Bach_m_asian_09","Bach_f_asian_09","P_Bach_asian_09","Total_hisp_15","Bach_m_hisp_15","Bach_f_hisp_15","P_Bach_hisp_15","Total_hisp_09","Bach_m_hisp_09","Bach_f_hisp_09","P_Bach_hisp_09"
"11001000100",3820,799,2656,90.4450261780105,3882,30.4,58.1,88.5,3537,1640,1565,90.6135142776364,3531,1669,1537,90.7958085528179,66,33,0,50,81,0,0,0,153,55,98,100,69,15,36,73.9130434782609,462,118,252,80.0865800865801,355,151,166,89.2957746478873
"11001000201",62,0,34,54.8387096774194,127,30.7,58.3,89,34,20,14,100,112,59,39,87.5,20,0,0,0,15,0,15,100,0,0,0,NA,0,0,0,NA,10,0,10,100,0,0,0,NA
"11001000202",2386,809,1452,94.7611064543168,2371,39.4,52.4,91.8,2245,959,1175,95.0556792873051,2190,1096,929,92.4657534246575,36,23,13,100,21,0,0,0,82,11,57,82.9268292682927,102,7,86,91.1764705882353,203,76,112,92.6108374384236,35,0,26,74.2857142857143
"11001000300",4291,1438,2310,87.3456070845957,3563,30.4,52.5,82.9,3795,1334,2041,88.9328063241107,3175,1362,1441,88.2834645669291,172,69,64,77.3255813953488,106,29,0,27.3584905660377,166,78,64,85.5421686746988,158,35,47,51.8987341772152,319,18,159,55.4858934169279,292,79,171,85.6164383561644
"11001000400",1251,270,715,78.7370103916867,1099,36.6,55.9,92.5,996,441,426,87.0481927710843,1052,537,441,92.9657794676806,72,5,30,48.6111111111111,19,0,10,52.6315789473684,124,24,21,36.2903225806452,28,7,21,100,168,45,41,51.1904761904762,161,97,40,85.0931677018634
"11001000501",2805,799,1733,90.2673796791444,2426,29.1,54.7,83.8,2364,947,1258,93.2741116751269,2133,793,1011,84.5757149554618,140,73,55,91.4285714285714,76,15,19,44.7368421052632,125,31,77,86.4,189,56,113,89.4179894179894,369,93,237,89.4308943089431,212,44,39,39.1509433962264
"11001000502",2425,732,1462,90.4742268041237,2471,35.5,48.2,83.7,2098,810,1117,91.8493803622498,2066,822,985,87.4636979670861,124,38,66,83.8709677419355,72,11,54,90.2777777777778,138,56,66,88.4057971014493,219,107,23,59.3607305936073,256,58,111,66.015625,206,40,52,44.6601941747573
"11001000600",3842,1061,2256,86.3352420614263,4436,23.4,48.2,71.6,3069,1212,1616,92.1472792440534,3467,1223,1530,79.4058263628497,462,135,138,59.0909090909091,594,31,57,14.8148148148148,186,66,103,90.8602150537634,155,34,78,72.258064516129,402,103,148,62.4378109452736,107,14,43,53.2710280373832
"11001000701",4495,1527,2237,83.7374860956619,3782,28.6,53.3,81.9,3560,1155,1935,86.7977528089888,3238,1355,1359,83.8171710932674,267,84,109,72.2846441947566,209,68,78,69.8564593301435,338,57,94,44.6745562130178,208,80,72,73.0769230769231,212,0,168,79.2452830188679,218,42,76,54.1284403669725
"11001000702",2732,1066,1128,80.307467057101,2237,30.4,48.5,78.9,2260,703,1132,81.1946902654867,1641,537,823,82.8762949421085,153,30,68,64.0522875816993,169,16,74,53.2544378698225,199,61,112,86.9346733668342,217,59,143,93.0875576036866,206,66,140,100,242,152,28,74.3801652892562
