OBJECTID_1,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,OBJECTID,WEB_URL,NAME,NBH_NAMES,SHAPE_Leng,Census_Tract_GEOID,Census_Tract_NAMELSAD,Census_Tract_ALAND,Census_Tract_AWATER,Census_Tract_INTPTLAT,Census_Tract_INTPTLON,Census_Tract_N_Cluster,Census_Tract_N_Name,GEOID,Total_15,P_Bach_15,Total_09,P_Bach_09,D_Total,Bach_15,Bach_09,D_Bach,C_Bach,C_P_Bach,Total_white_15,P_Bach_white_15,Total_white_09,P_Bach_white_09,D_Total_white,Bach_white_15,Bach_white_09,D_Bach_white,C_Bach_white,C_P_Bach_white,Total_black_15,P_Bach_black_15,Total_black_09,P_Bach_black_09,D_Total_black,Bach_black_15,Bach_black_09,D_Bach_black,C_Bach_black,C_P_Bach_black,Total_asian_15,P_Bach_asian_15,Total_asian_09,P_Bach_asian_09,D_Total_asian,Bach_asian_15,Bach_asian_09,D_Bach_asian,C_Bach_asian,C_P_Bach_asian,MHI_ALL_15,MHI_ALL_09,D_Income,C_Income,ORIG_FID,Census_Tract_GEOID_1,Census_Tract_NAMELSAD_1,Census_Tract_ALAND_1,Census_Tract_AWATER_1,Census_Tract_INTPTLAT_1,Census_Tract_INTPTLON_1,Census_Tract_N_Cluster_1,Census_Tract_N_Name_1,Total_hisp_15,P_Bach_hisp_15,Total_hisp_09,P_Bach_hisp_09,D_Total_hisp,Bach_hisp_15,Bach_hisp_09,D_Bach_hisp,C_Bach_hisp,C_P_Bach_hisp,Shape_Length,Shape_Area
1,9,0,9,1,1,http://planning.dc.gov/,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",10719.614724600118000,11001009700,Census Tract 97,403011.000000000000000,6751.000000000000000,+38.8354183,-76.9870273,39,"Congress Heights, Bellevue, Washington Highlands",11001009700,16547.000000000000000,12.660905300054390,8501.000000000000000,9.713316080461123,844.000000000000000,2095.000000000000000,825.729000000000040,343.271000000000020,59.845407094456625,40.221470832205092,438.000000000000000,49.543378995433791,154.000000000000000,73.873873873873876,-19.000000000000000,217.000000000000000,105.000000000000000,112.000000000000000,-100.000000000000000,-32.935182091546942,15777.000000000000000,11.510426570323890,8261.000000000000000,8.546180849776055,7516.000000000000000,1816.000000000000000,706.000000000000000,1110.000000000000000,157.223796033994350,34.685033849073186,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30894.777777777777000,23080.444444444445000,7814.333333333332100,33.856944792128004,154,11001009700,Census Tract 97,403011.000000000000000,6751.000000000000000,+38.8354183,-76.9870273,39,"Congress Heights, Bellevue, Washington Highlands",264.000000000000000,13.257575757575758,61.000000000000000,0.000000000000000,203.000000000000000,35.000000000000000,0.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,0.107900590777781,4887587.842319901100000
2,4,1,4,2,2,http://planning.dc.gov/,Cluster 38,"Douglas, Shipley Terrace",8233.450912779673700,11001007304,Census Tract 73.04,1240387.000000000000000,11701.000000000000000,+38.8417975,-76.9855623,39,"Congress Heights, Bellevue, Washington Highlands",11001007304,7917.000000000000000,11.090059365921435,7384.000000000000000,10.883152762730228,533.000000000000000,878.000000000000000,803.611999999999970,74.388000000000062,18.351474026206112,12.671778085073221,162.000000000000000,62.345679012345677,107.000000000000000,22.962962962962962,55.000000000000000,101.000000000000000,31.000000000000000,70.000000000000000,-100.000000000000000,171.505376344086020,7659.000000000000000,9.870740305522913,7203.000000000000000,10.412328196584756,456.000000000000000,756.000000000000000,750.000000000000000,6.000000000000000,0.800000000000000,-5.201410105757939,21.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,21.000000000000000,21.000000000000000,0.000000000000000,21.000000000000000,0.000000000000000,0.000000000000000,30875.000000000000000,31612.500000000000000,-737.500000000000000,-2.332937920126532,93,11001007304,Census Tract 73.04,1240387.000000000000000,11701.000000000000000,+38.8417975,-76.9855623,39,"Congress Heights, Bellevue, Washington Highlands",69.000000000000000,0.000000000000000,48.000000000000000,35.416666666666671,21.000000000000000,0.000000000000000,17.000000000000000,-17.000000000000000,-100.000000000000000,-100.000000000000000,0.086458507074735,2370929.441789850600000
3,2,2,2,3,3,http://planning.dc.gov/,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",4746.344537900520700,11001007408,Census Tract 74.08,376318.000000000000000,58.000000000000000,+38.8526236,-76.9711664,36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",11001007408,4952.000000000000000,10.722940226171245,4075.000000000000000,8.804760736196320,877.000000000000000,531.000000000000000,358.794000000000040,172.205999999999960,35.905207898722878,10.637605461379614,98.000000000000000,50.000000000000000,92.000000000000000,8.088235294117647,6.000000000000000,49.000000000000000,11.000000000000000,38.000000000000000,254.545454545454530,518.181818181818240,4725.000000000000000,9.989417989417989,3891.000000000000000,8.918015934207144,834.000000000000000,472.000000000000000,347.000000000000000,125.000000000000000,36.023054755043226,12.013906042724487,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,24387.500000000000000,26269.500000000000000,-1882.000000000000000,-7.164201831020765,99,11001007408,Census Tract 74.08,376318.000000000000000,58.000000000000000,+38.8526236,-76.9711664,36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",37.000000000000000,59.459459459459460,55.000000000000000,0.000000000000000,-18.000000000000000,22.000000000000000,0.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,0.048539462304223,1119573.063961868200000
4,2,3,2,4,4,http://planning.dc.gov/,Cluster 27,"Near Southeast, Navy Yard",7286.968934609530200,11001007100,Census Tract 71,602224.000000000000000,149901.000000000000000,+38.8773196,-76.9870754,27,"Near Southeast, Navy Yard",11001007100,5632.000000000000000,69.673295454545453,2364.000000000000000,32.964467005076145,3268.000000000000000,3924.000000000000000,779.279999999999970,3144.719999999999800,784.111633947248150,92.038552170787995,3478.000000000000000,91.029327199539964,550.000000000000000,94.235033259423503,2928.000000000000000,3166.000000000000000,498.000000000000000,2668.000000000000000,136.842105263157890,-3.401819842370532,1756.000000000000000,26.309794988610481,1734.000000000000000,12.687427912341406,22.000000000000000,462.000000000000000,220.000000000000000,242.000000000000000,110.000000000000010,107.369020501138990,215.000000000000000,78.604651162790702,68.000000000000000,91.176470588235290,147.000000000000000,169.000000000000000,62.000000000000000,107.000000000000000,172.580645161290330,-13.788447111777934,89900.500000000000000,31487.000000000000000,58413.500000000000000,185.516244799441040,90,11001007100,Census Tract 71,602224.000000000000000,149901.000000000000000,+38.8773196,-76.9870754,27,"Near Southeast, Navy Yard",239.000000000000000,70.711297071129707,64.000000000000000,65.625000000000000,175.000000000000000,169.000000000000000,42.000000000000000,127.000000000000000,302.380952380952350,7.750547917911933,0.077793903348344,1619166.846788899700000
5,5,4,5,5,5,http://planning.dc.gov/,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",11258.342225412032000,11001007703,Census Tract 77.03,1017266.000000000000000,1059.000000000000000,+38.8863224,-76.9474550,32,"River Terrace, Benning, Greenway, Fort Dupont",11001007703,10728.000000000000000,12.705070842654736,11239.000000000000000,15.840163715633063,-511.000000000000000,1363.000000000000000,1780.275999999999800,-417.276000000000010,-27.641139658429644,-24.582762621096936,77.000000000000000,80.519480519480524,297.000000000000000,70.048338572828996,-220.000000000000000,62.000000000000000,172.000000000000000,-110.000000000000000,-100.000000000000000,14.948451540738144,10460.000000000000000,12.131931166347993,10768.000000000000000,14.608098068350669,-308.000000000000000,1269.000000000000000,1573.000000000000000,-304.000000000000000,-19.326128417037509,-16.950645391458881,42.000000000000000,26.190476190476193,12.000000000000000,100.000000000000000,30.000000000000000,11.000000000000000,12.000000000000000,-1.000000000000000,-8.333333333333332,-73.809523809523810,38981.400000000001000,39998.400000000001000,-1017.000000000000000,-2.542601704068163,108,11001007703,Census Tract 77.03,1017266.000000000000000,1059.000000000000000,+38.8863224,-76.9474550,32,"River Terrace, Benning, Greenway, Fort Dupont",101.000000000000000,34.653465346534652,121.000000000000000,0.000000000000000,-20.000000000000000,35.000000000000000,0.000000000000000,35.000000000000000,0.000000000000000,0.000000000000000,0.118690081295597,4286976.980060130400000
6,5,5,5,6,6,http://planning.dc.gov/,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",7343.200507990956800,11001004701,Census Tract 47.01,324650.000000000000000,0.000000000000000,+38.9041493,-77.0136509,8,"Downtown, Chinatown, Penn, MV Square, N Capitol St",11001004701,12141.000000000000000,67.547977926035756,4704.000000000000000,57.204591836734700,-220.000000000000000,8201.000000000000000,2690.904000000000000,924.096000000000000,35.040014377480702,47.900330964041821,6395.000000000000000,91.696637998436287,2205.000000000000000,84.285508221123649,653.000000000000000,5864.000000000000000,1894.000000000000000,3970.000000000000000,34.346754313886606,8.792887334640593,3635.000000000000000,23.878954607977992,1526.000000000000000,16.513761467889911,2109.000000000000000,868.000000000000000,252.000000000000000,616.000000000000000,244.444444444444460,44.600336237200040,1610.000000000000000,72.732919254658384,653.000000000000000,46.401225114854519,957.000000000000000,1171.000000000000000,303.000000000000000,868.000000000000000,286.468646864686490,56.747842486111956,86743.199999999997000,31867.599999999999000,54875.599999999999000,172.198722213156940,66,11001004701,Census Tract 47.01,324650.000000000000000,0.000000000000000,+38.9041493,-77.0136509,8,"Downtown, Chinatown, Penn, MV Square, N Capitol St",818.000000000000000,75.550122249388750,292.000000000000000,71.917808219178085,526.000000000000000,618.000000000000000,210.000000000000000,408.000000000000000,194.285714285714280,5.050646175340543,0.076981170383647,2937436.235254294700000
7,3,6,3,7,7,http://planning.dc.gov/,Cluster 5,"West End, Foggy Bottom, GWU",5884.746134286154300,11001005500,Census Tract 55,629386.000000000000000,9350.000000000000000,+38.9077913,-77.0493321,6,"Dupont Circle, Connecticut Avenue/K Street",11001005500,10315.000000000000000,86.621425109064461,7723.000000000000000,83.002822737278251,1719.000000000000000,8935.000000000000000,6410.307999999999100,1813.692000000000500,28.048367874914916,4.983408562595523,7792.000000000000000,89.052874743326498,5857.000000000000000,87.114586102603781,1410.000000000000000,6939.000000000000000,5148.000000000000000,1791.000000000000000,20.669671603348359,2.224987487674907,720.000000000000000,60.694444444444443,564.000000000000000,55.141843971631211,156.000000000000000,437.000000000000000,311.000000000000000,126.000000000000000,40.514469453376208,10.069667738478016,1138.000000000000000,86.731107205623900,803.000000000000000,66.749688667496883,335.000000000000000,987.000000000000000,536.000000000000000,451.000000000000000,84.141791044776113,29.934849041261185,67979.000000000000000,52795.666666666664000,15183.333333333336000,28.758673375971515,76,11001005500,Census Tract 55,629386.000000000000000,9350.000000000000000,+38.9077913,-77.0493321,6,"Dupont Circle, Connecticut Avenue/K Street",1188.000000000000000,73.905723905723903,796.000000000000000,81.783919597989950,392.000000000000000,878.000000000000000,651.000000000000000,227.000000000000000,34.869431643625191,-9.632939740466625,0.061625408460616,1358616.420032183900000
8,2,7,2,8,8,http://planning.dc.gov/,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",7599.065682676121500,11001007803,Census Tract 78.03,1007762.000000000000000,1639.000000000000000,+38.8962674,-76.9407751,30,"Mayfair, Hillbrook, Mahaning Heights",11001007803,4315.000000000000000,10.892236384704519,4195.000000000000000,11.084481525625746,120.000000000000000,470.000000000000000,464.994000000000030,5.005999999999958,1.907379740544698,-0.435267849194779,70.000000000000000,37.142857142857146,58.000000000000000,89.772727272727280,12.000000000000000,26.000000000000000,49.000000000000000,-23.000000000000000,-42.857142857142854,-58.625678119349004,3937.000000000000000,8.839217678435357,4092.000000000000000,9.799608993157380,-155.000000000000000,348.000000000000000,401.000000000000000,-53.000000000000000,-13.216957605985039,-9.800302393622234,0.000000000000000,0.000000000000000,16.000000000000000,100.000000000000000,-16.000000000000000,0.000000000000000,16.000000000000000,-16.000000000000000,-100.000000000000000,0.000000000000000,30603.000000000000000,23397.500000000000000,7205.500000000000000,30.796025216369273,112,11001007803,Census Tract 78.03,1007762.000000000000000,1639.000000000000000,+38.8962674,-76.9407751,30,"Mayfair, Hillbrook, Mahaning Heights",240.000000000000000,12.083333333333334,29.000000000000000,0.000000000000000,211.000000000000000,29.000000000000000,0.000000000000000,29.000000000000000,0.000000000000000,0.000000000000000,0.080117177009656,2524926.964052258500000
9,5,8,5,9,9,http://planning.dc.gov/,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",8570.352644777454800,11001007804,Census Tract 78.04,839831.000000000000000,4303.000000000000000,+38.8942107,-76.9313427,31,"Deanwood, Burrville, Lincoln Heights",11001007804,9261.000000000000000,15.419501133786847,8326.000000000000000,11.090247417727600,935.000000000000000,1428.000000000000000,923.374000000000020,504.626000000000030,53.271267267352641,35.633792520205780,159.000000000000000,69.182389937106919,180.000000000000000,37.500000000000000,-21.000000000000000,110.000000000000000,36.000000000000000,74.000000000000000,23.809523809523807,84.486373165618460,8798.000000000000000,13.503068879290748,8057.000000000000000,10.512597741094702,741.000000000000000,1188.000000000000000,847.000000000000000,341.000000000000000,40.259740259740262,28.446547769121061,74.000000000000000,58.108108108108105,4.000000000000000,100.000000000000000,70.000000000000000,43.000000000000000,4.000000000000000,39.000000000000000,975.000000000000000,-41.891891891891895,36577.000000000000000,28428.200000000001000,8148.799999999999300,28.664495114006510,113,11001007804,Census Tract 78.04,839831.000000000000000,4303.000000000000000,+38.8942107,-76.9313427,31,"Deanwood, Burrville, Lincoln Heights",207.000000000000000,24.637681159420293,164.000000000000000,39.634146341463413,43.000000000000000,51.000000000000000,65.000000000000000,-14.000000000000000,-21.538461538461540,-37.837235228539569,0.089988302798233,3330853.560184908100000
10,7,9,7,10,10,http://planning.dc.gov/,Cluster 7,"Shaw, Logan Circle",5004.596055317402700,11001004801,Census Tract 48.01,317491.000000000000000,0.000000000000000,+38.9117400,-77.0195320,7,"Shaw, Logan Circle",11001004801,21670.000000000000000,65.616059067835721,11042.000000000000000,58.572849121535953,3480.000000000000000,14219.000000000000000,6467.613999999999600,3092.386000000000000,62.656007596568614,21.647340277017406,12813.000000000000000,86.537110746897682,5753.000000000000000,81.698984220735639,2680.000000000000000,11088.000000000000000,4920.000000000000000,6168.000000000000000,70.673076923076934,5.921893120592925,4990.000000000000000,19.859719438877754,3932.000000000000000,19.786368260427263,1058.000000000000000,991.000000000000000,778.000000000000000,213.000000000000000,27.377892030848329,0.370715724508135,1579.000000000000000,69.474350854971505,798.000000000000000,69.799498746867172,781.000000000000000,1097.000000000000000,557.000000000000000,540.000000000000000,96.947935368043090,-0.465831270615337,90316.714285714290000,41707.000000000000000,48609.714285714290000,116.550493408095260,68,11001004801,Census Tract 48.01,317491.000000000000000,0.000000000000000,+38.9117400,-77.0195320,7,"Shaw, Logan Circle",3119.000000000000000,40.589932670727798,941.000000000000000,46.333687566418703,2178.000000000000000,1266.000000000000000,436.000000000000000,830.000000000000000,190.366972477064220,-12.396498524874179,0.053162588560955,1463803.325386751700000
