name,value
Historic Anacostia,102.1
Navy Yard,92.0
Ivy City/Trinidad/Langston,79.6
Edgewood/BloomingdaleEckington,69.0
Southwest Waterfront/Buzzard Point,53.0
Columbia Hts/Mt Pleasant/Park View,48.9
Chinatown/Penn/N Capitol St,47.9
Congress Hts/Bellevue/Washington Hlands,40.2
Brookland/Brentwood/Langdon,39.1
Deanwood/Burrville/Grant Park/Lincoln Hts,35.6
Union Station/Stanton Park/Kingman Park,33.3
Brightwood Park/Crestwood/Petworth,30.3
Le Droit Park/Cardozo,30.1
Capitol View/Marshall Hts/Benning Hts,29.1
Shaw/Logan Cir,21.6
Lamont Riggs/ Fort Totten/Pleasant Hill,19.2
Michigan Park/University Hts,19.1
Dupont Circle,15.4
Twining/Fairlawn/ Fort Dupont,13.9
"Douglas, Shipley Terrace",12.7
Woodridge/Fort Lincoln/Gateway,11.4
Woodland/Fort Stanton,10.6
Capitol Hill/Lincoln Park,10.0
Takoma/Brightwood/Manor Park,8.2
Cleveland Park/Woodley Park/Mass Ave Hts,5.4
Cleveland Park/Van Ness,5.2
Foggy Bottom,5.0
Kalorama/Adams Morgan,4.5
Hawthorne/Chevy Chase,3.9
Cathedral Ht/McLean Gardens/Glover Park,2.6
Friendship Hts/AU Park/Tenleytown,2.0
Colonial Village/Shepherd Park,1.9
Spring Valley/Palisades/Foxhall,1.1
Mayfair/Hillbrook/Mahaning Hts,-0.4
Fairfax Village/Naylor Gardens,-3.1
Georgetown/Burleith,-6.9
Eastland Gardens/Kenilworth,-22.6
River Terrace/Benning/Dupont Park,-24.6
Sheridan/Barry Farm/Buena Vista,-31.7
