NBH_NAMES,C_P_Bach_b,D_Bach_bla,OBJECTID
Congress Heights Bellevue Washington Highlands,34.7,1110,1
Douglas Shipley Terrace,-5.2,6,2
Woodland/Fort Stanton Garfield Heights Knox Hill,12.0,125,3
Near Southeast Navy Yard,107.4,242,4
River Terrace Benning Greenway Dupont Park,-17.0,-304,5
Downtown Chinatown Penn Quarters Mount Vernon Square North Capitol Street,44.6,616,6
West End Foggy Bottom GWU,10.1,126,7
Mayfair Hillbrook Mahaning Heights,-9.8,-53,8
Deanwood Burrville Grant Park Lincoln Heights Fairmont Heights,28.4,341,9
Shaw Logan Circle,0.4,213,10
Eastland Gardens Kenilworth,-30.2,-91,11
Ivy City Arboretum Trinidad Carver Langston,29.1,279,12
Georgetown Burleith/Hillandale,248.2,158,13
Dupont Circle Connecticut Avenue/K Street,183.8,-26,14
Howard University Le Droit Park Cardozo/Shaw,19.1,63,15
Southwest Employment Area Southwest/Waterfront Fort McNair Buzzard Point,211.9,1536,16
Capitol View Marshall Heights Benning Heights,2.6,168,17
Spring Valley Palisades Wesley Heights Foxhall Crescent Foxhall Village Georgetown Reservoir,-31.6,246,18
North Michigan Park Michigan Park University Heights,12.7,73,19
North Cleveland Park Forest Hills Van Ness,14.2,383,20
Brightwood Park Crestwood Petworth,23.1,895,21
Friendship Heights American University Park Tenleytown,-1.6,107,22
Lamont Riggs Queens Chapel Fort Totten Pleasant Hill,6.6,123,23
Takoma Brightwood Manor Park,-1.4,544,24
Colonial Village Shepherd Park North Portal Estates,-3.7,26,25
Hawthorne Barnaby Woods Chevy Chase,6.6,-58,26
Historic Anacostia,68.2,103,27
Fairfax Village Naylor Gardens Hillcrest Summit Park,3.5,-45,28
Sheridan Barry Farm Buena Vista,-30.3,-134,29
Twining Fairlawn Randle Highlands Penn Branch Fort Davis Park Fort Dupont,2.7,64,30
Union Station Stanton Park Kingman Park,32.5,432,31
Kalorama Heights Adams Morgan Lanier Heights,10.6,-110,32
Edgewood Bloomingdale Truxton Circle Eckington,20.0,150,33
Columbia Heights Mt. Pleasant Pleasant Plains Park View,30.4,666,34
Brookland Brentwood Langdon,6.9,2,35
Woodridge Fort Lincoln Gateway,-7.1,1008,36
Cathedral Heights McLean Gardens Glover Park,13.2,-35,37
Cleveland Park Woodley Park Massachusetts Avenue Heights Woodland-Normanstone Terrace,161.4,343,38
Capitol Hill Lincoln Park,26.4,401,39
