NBH_NAMES,C_P_Bach_h,D_Bach_his,OBJECTID
Congress Heights Bellevue Washington Highlands,0.0,35,1
Douglas Shipley Terrace,-100.0,-17,2
Woodland/Fort Stanton Garfield Heights Knox Hill,0.0,22,3
Near Southeast Navy Yard,7.8,127,4
River Terrace Benning Greenway Dupont Park,0.0,35,5
Downtown Chinatown Penn Quarters Mount Vernon Square North Capitol Street,5.1,408,6
West End Foggy Bottom GWU,-9.6,227,7
Mayfair Hillbrook Mahaning Heights,0.0,29,8
Deanwood Burrville Grant Park Lincoln Heights Fairmont Heights,-37.8,-14,9
Shaw Logan Circle,-12.4,830,10
Eastland Gardens Kenilworth,0.0,9,11
Ivy City Arboretum Trinidad Carver Langston,-4.8,66,12
Georgetown Burleith/Hillandale,-13.8,152,13
Dupont Circle Connecticut Avenue/K Street,9.8,-3,14
Howard University Le Droit Park Cardozo/Shaw,255.2,421,15
Southwest Employment Area Southwest/Waterfront Fort McNair Buzzard Point,0.0,328,16
Capitol View Marshall Heights Benning Heights,0.0,91,17
Spring Valley Palisades Wesley Heights Foxhall Crescent Foxhall Village Georgetown Reservoir,38.1,449,18
North Michigan Park Michigan Park University Heights,10.0,53,19
North Cleveland Park Forest Hills Van Ness,-2.8,-76,20
Brightwood Park Crestwood Petworth,96.2,754,21
Friendship Heights American University Park Tenleytown,7.2,203,22
Lamont Riggs Queens Chapel Fort Totten Pleasant Hill,246.5,306,23
Takoma Brightwood Manor Park,160.6,693,24
Colonial Village Shepherd Park North Portal Estates,108.0,51,25
Hawthorne Barnaby Woods Chevy Chase,29.6,110,26
Historic Anacostia,0.0,0,27
Fairfax Village Naylor Gardens Hillcrest Summit Park,-33.1,1,28
Sheridan Barry Farm Buena Vista,-100.0,-13,29
Twining Fairlawn Randle Highlands Penn Branch Fort Davis Park Fort Dupont,-56.0,-26,30
Union Station Stanton Park Kingman Park,58.6,470,31
Kalorama Heights Adams Morgan Lanier Heights,18.9,423,32
Edgewood Bloomingdale Truxton Circle Eckington,57.4,376,33
Columbia Heights Mt. Pleasant Pleasant Plains Park View,106.8,1178,34
Brookland Brentwood Langdon,-16.9,2,35
Woodridge Fort Lincoln Gateway,72.9,207,36
Cathedral Heights McLean Gardens Glover Park,48.9,44,37
Cleveland Park Woodley Park Massachusetts Avenue Heights Woodland-Normanstone Terrace,30.1,467,38
Capitol Hill Lincoln Park,-6.0,107,39
