name,value
Navy Yard,185.5
Cardozo/Shaw,74.8
Kenilworth,47.1
Columbia Heights/Mt. Pleasant,47.0
Logan Circle,43.0
Chinatown/N Capitol St,40.4
Capitol View,35.0
Georgetown,33.4
Mayfair,30.8
Bloomingdale/Eckington,29.5
Deanwood,28.7
Takoma,28.1
Ivy City/Trinidad,25.1
Southwest/Buzzard Point,22.3
Capitol Hill,20.5
Petworth,18.9
NoMa,18.1
Kalorama/Adams Morgan,18.1
Cleveland Park/Woodley Park,18.1
Michigan Park,17.7
Chevy Chase,15.9
Van Ness,14.4
Hillcrest/Summit Park,10.8
Woodridge/Fort Lincoln,10.7
Dupont Circle,9.2
Spring Valley/Palisades,8.2
Cathedral Heights/Glover Park,7.9
Fort Totten,6.6
Brookland/Brentwood,4.9
Douglass/Shipley Terrace,4.4
Friendship/AU Park/Tenleytown,4.4
Shepherd Park,4.2
Barry Farm,4.1
Foggy Bottom,1.9
Twining/Dupont Park,0.4
Benning/Fort Dupont,-2.0
Woodland/Fort Stanton,-7.2
Congress Hts/Washington Highlands,-12.5
Historic Anacostia,-18.4
