Black_Chan,N_Cluster,OBJECTID
,No Cluster,1
138.4,Kalorama/Adams Morgan,2
29.8,Columbia Heights/Mt. Pleasant,13
60.0,Cardozo/Shaw,24
-74.3,Georgetown,35
,Foggy Bottom,36
133.7,Dupont Circle,37
15.7,Logan Circle,38
-23.8,Chinatown/N Capitol St,39
-2.2,Southwest/Buzzard Point,40
23.1,Chevy Chase,3
-78.4,Friendship/AU Park/Tenleytown,4
62.5,Van Ness,5
105.1,Spring Valley/Palisades,6
90.4,Cathedral Heights/Glover Park,7
87.2,Cleveland Park/Woodley Park,8
-11.6,Shepherd Park,9
33.7,Takoma,10
11.6,Petworth,11
2.3,Fort Totten,12
14.1,Michigan Park,14
5.7,Bloomingdale/Eckington,15
4.8,Brookland/Brentwood,16
14.4,Ivy City/Trinidad,17
-3.4,Woodridge/Fort Lincoln,18
24.8,NoMa,19
93.8,Capitol Hill,20
25.0,Navy Yard,21
-20.6,Historic Anacostia,22
43.1,Kenilworth,23
32.9,Mayfair,25
27.3,Deanwood,26
-0.3,Benning/Fort Dupont,27
34.1,Capitol View,28
-1.7,Twining/Dupont Park,29
10.6,Hillcrest/Summit Park,30
-9.1,Woodland/Fort Stanton,31
0.5,Barry Farm,32
4.3,Douglass/Shipley Terrace,33
-11.3,Congress Hts/Washington Highlands,34
