N_Cluster,All_Change,OBJECTID
No Cluster,,1
Kalorama/Adams Morgan,18.1,2
Columbia Heights/Mt. Pleasant,47.0,13
Cardozo/Shaw,74.8,24
Georgetown,33.4,35
Foggy Bottom,1.9,36
Dupont Circle,9.2,37
Logan Circle,43.0,38
Chinatown/N Capitol St,40.4,39
Southwest/Buzzard Point,22.3,40
Chevy Chase,15.9,3
Friendship/AU Park/Tenleytown,4.4,4
Van Ness,14.4,5
Spring Valley/Palisades,8.2,6
Cathedral Heights/Glover Park,7.9,7
Cleveland Park/Woodley Park,18.1,8
Shepherd Park,4.2,9
Takoma,28.1,10
Petworth,18.9,11
Fort Totten,6.6,12
Michigan Park,17.7,14
Bloomingdale/Eckington,29.5,15
Brookland/Brentwood,4.9,16
Ivy City/Trinidad,25.1,17
Woodridge/Fort Lincoln,10.7,18
NoMa,18.1,19
Capitol Hill,20.5,20
Navy Yard,185.5,21
Historic Anacostia,-18.4,22
Kenilworth,47.1,23
Mayfair,30.8,25
Deanwood,28.7,26
Benning/Fort Dupont,-2.0,27
Capitol View,35.0,28
Twining/Dupont Park,0.4,29
Hillcrest/Summit Park,10.8,30
Woodland/Fort Stanton,-7.2,31
Barry Farm,4.1,32
Douglass/Shipley Terrace,4.4,33
Congress Hts/Washington Highlands,-12.5,34
