Hispanic_C,N_Cluster,OBJECTID
,No Cluster,1
20.7,Kalorama/Adams Morgan,2
13.1,Columbia Heights/Mt. Pleasant,13
329.7,Cardozo/Shaw,24
55.4,Georgetown,35
-48.6,Foggy Bottom,36
48.4,Dupont Circle,37
26.4,Logan Circle,38
43.3,Chinatown/N Capitol St,39
,Southwest/Buzzard Point,40
98.5,Chevy Chase,3
83.9,Friendship/AU Park/Tenleytown,4
0.4,Van Ness,5
75.9,Spring Valley/Palisades,6
112.7,Cathedral Heights/Glover Park,7
34.6,Cleveland Park/Woodley Park,8
,Shepherd Park,9
79.8,Takoma,10
36.6,Petworth,11
30.5,Fort Totten,12
,Michigan Park,14
84.6,Bloomingdale/Eckington,15
-58.0,Brookland/Brentwood,16
8.7,Ivy City/Trinidad,17
37.0,Woodridge/Fort Lincoln,18
51.5,NoMa,19
59.7,Capitol Hill,20
-18.1,Navy Yard,21
,Historic Anacostia,22
,Kenilworth,23
,Mayfair,25
,Deanwood,26
,Benning/Fort Dupont,27
,Capitol View,28
-34.4,Twining/Dupont Park,29
,Hillcrest/Summit Park,30
,Woodland/Fort Stanton,31
,Barry Farm,32
,Douglass/Shipley Terrace,33
,Congress Hts/Washington Highlands,34
