MHI_25_442,N_Cluster,OBJECTID
,No Cluster,1
7.4,Kalorama/Adams Morgan,2
37.5,Columbia Heights/Mt. Pleasant,13
,Cardozo/Shaw,24
50.9,Georgetown,35
13.1,Foggy Bottom,36
21.0,Dupont Circle,37
78.1,Logan Circle,38
21.7,Chinatown/N Capitol St,39
62.6,Southwest/Buzzard Point,40
13.8,Chevy Chase,3
-22.9,Friendship/AU Park/Tenleytown,4
-4.0,Van Ness,5
36.8,Spring Valley/Palisades,6
16.5,Cathedral Heights/Glover Park,7
18.5,Cleveland Park/Woodley Park,8
67.3,Shepherd Park,9
37.5,Takoma,10
15.9,Petworth,11
88.9,Fort Totten,12
24.2,Michigan Park,14
56.2,Bloomingdale/Eckington,15
63.5,Brookland/Brentwood,16
-9.2,Ivy City/Trinidad,17
42.1,Woodridge/Fort Lincoln,18
13.2,NoMa,19
33.4,Capitol Hill,20
50.8,Navy Yard,21
-33.6,Historic Anacostia,22
,Kenilworth,23
7.4,Mayfair,25
29.5,Deanwood,26
-2.0,Benning/Fort Dupont,27
51.2,Capitol View,28
6.8,Twining/Dupont Park,29
25.9,Hillcrest/Summit Park,30
9.8,Woodland/Fort Stanton,31
22.0,Barry Farm,32
-28.8,Douglass/Shipley Terrace,33
-5.1,Congress Hts/Washington Highlands,34
