date	2016	2015	2014
0101	152		252		206
0102	2283	4829	3658
0103	859		2233	1672
0104	3945	732		1330
0105	4536	3746	724
0106	5905	2107	4232
0107	6214	4039	2906
0108	5403	4137	4539
0109	2222	4977	5586
0110	1012	2434	4398
0111	4842	873	2081
0112	5587	3678	919
0113	6051	6214	5205
0114	6609	5765	5324
0115	5554	6780	6090
0116	3036	6120	6051
0117	721		3160	5638
0118	169		1002	2338
0119	3722	174	819
0120	4225	5188	118
0121	3410	5549	553
0122	3444	6513	1614
0123	25		4471	4399
0124	118		2649	4548
0125	411		1000	2341
0126	1315	3302	1119
0127	1490	4647	5041
0128	1502	6308	3018
0129	2858	6432	4625
0130	1400	5907	5715
0131	1030	2976	6032
0201	4949	874		3130
0202	6025	4561	985
0203	5519	6177	3936
0204	6117	7178	5688
0205	5545	6442	5302
0206	2772	5993	6103
0207	747		3471	5626
0208	3781	1226	2532
0209	4139	5216	781
0210	5765	5713	4625
0211	4894	5896	5551
0212	4229	5906	5280
0213	1716	4583	724
0214	575	2457	2004
0215	53	206	1712
0216	2606	134	829
0217	6584	1276	201
0218	6202	3924	4620
0219	5428	4623	3741
0220	2616	3940	6306
0221	979	682	5553
0222	5218	539	2850
0223	4717	3873	1009
0224	4441	4767	4912
0225	5751	5632	5007
0226	5171	3850	5121
0227	1965	5937	5972
0228	952	2661	4904
0229	4906	NA	NA
0301	5697	1002	3086
0302	5718	8550	706
0303	5183	10292	1042
0304	4017	10076	2958
0305	2928	5646	5171
0306	996	3614	6072
0307	5024	4514	5360
0308	7089	2132	3077
0309	7439	10368	575
0310	7301	11608	5046
0311	5969	13334	6489
0312	3014	13486	6401
0313	721	12442	5126
0314	5345	5398	5678
0315	6451	2730	2930
0316	5696	12404	717
0317	6361	12044	580
0318	5597	14596	5156
0319	2141	14530	5324
0320	978	10044	6385
0321	5096	6420	5492
0322	6232	2082	3064
0323	6731	12658	759
0324	6202	14600	4806
0325	5156	14692	4250
0326	2770	14418	5353
0327	708	12678	5990
0328	4914	5316	5439
0329	6606	2074	2499
0330	6362	12398	732
0331	6266	11240	5513
0401	5230	NA	6285
0402	2267	NA	6727
0403	407	NA	7009
0404	10438	NA	5215
0405	12440	NA	2412
0406	14228	NA	1182
0407	10654	NA	4852
0408	11952	NA	6182
0409	6270	NA	6373
0410	2396	NA	6474
0411	11742	NA	5119
0412	12990	NA	3135
0413	13394	NA	1251
0414	12214	NA	5480
0415	598	NA	4165
0416	5660	NA	264
0417	2260	NA	6906
0418	10120	NA	4630
0419	12828	NA	2987
0420	13404	NA	907
0421	13182	NA	5820
0422	10796	NA	6394
0423	6016	NA	6545
0424	2476	NA	6857
0425	10682	NA	5423
0426	12426	NA	3182
0427	13030	NA	795
0428	11518	NA	5314
0429	5569	NA	5355
0430	3218	NA	5205
0501	908	6051	6562
0502	4574	2549	5557
0503	6190	1102	2714
0504	6349	5764	793
0505	6126	6768	5163
0506	4250	6767	6210
0507	3001	7328	6321
0508	599	6596	6086
0509	4862	3020	5900
0510	6430	989	3048
0511	6382	5784	750
0512	6637	6233	5706
0513	5049	7600	6543
0514	2355	6845	6117
0515	677	6875	6365
0516	5158	3330	5122
0517	5599	1190	3541
0518	6935	6083	1043
0519	6471	6896	5511
0520	5095	7145	4756
0521	2523	6509	6338
0522	742	5885	6274
0523	4819	3086	5484
0524	6029	861	3431
0525	5849	140	699
0526	5757	4805	337
0527	4390	6786	5257
0528	2073	6994	5694
0529	210	6257	6048
0530	39	3008	6016
0531	9098	850	3371
0601	13002	5491	967
0602	12802	6393	4939
0603	10410	7243	6351
0604	4896	6284	5691
0605	1012	5969	6854
0606	10610	2845	6111
0607	12644	1088	3164
0608	12448	4927	891
0609	12350	6693	5309
0610	3178	6828	6237
0611	4564	6914	5623
0612	1318	4530	6737
0613	9670	2667	5640
0614	11088	646	3154
0615	12020	4601	379
0616	11502	6601	4402
0617	11586	6200	6088
0618	4274	6125	6412
0619	906	5856	7018
0620	8886	2887	6813
0621	10226	959	4259
0622	12756	5389	1034
0623	11642	5435	6117
0624	8178	7386	6730
0625	5008	6617	6817
0626	968	6080	6572
0627	5722	2129	5804
0628	10916	919	3249
0629	11812	6570	769
0630	12804	6435	5625
0701	10336	7015	6521
0702	4102	7781	6239
0703	1028	401	5265
0704	890	838	380
0705	8794	826	2634
0706	9228	5004	1048
0707	12834	6943	5192
0708	11160	7111	5857
0709	4648	7019	6874
0710	860	5746	6528
0711	9756	2319	5623
0712	13262	1146	3051
0713	12858	5317	694
0714	12582	6553	5106
0715	12592	7366	5845
0716	5308	7188	6297
0717	994	6533	7007
0718	9782	3130	6423
0719	12946	1163	4330
0720	12994	5016	985
0721	13462	6907	5550
0722	10454	6910	6850
0723	3890	7119	7146
0724	1278	5742	7184
0725	7946	3082	5915
0726	11290	1166	3664
0727	12890	5082	775
0728	13026	5959	5332
0729	10064	6954	6425
0730	3852	6732	7096
0731	1242	6667	6520
0801	10704	2731	6583
0802	13422	1116	3825
0803	13762	5546	968
0804	9090	6790	5412
0805	11046	7656	5735
0806	4188	5813	6211
0807	1176	1546	6412
0808	10034	3063	1599
0809	12512	1097	3411
0810	11182	5246	750
0811	10632	6350	5701
0812	8258	7535	5306
0813	2756	7214	6380
0814	1290	6579	6770
0815	8826	2984	6024
0816	10698	1125	3695
0817	11508	6217	962
0818	10840	7661	5979
0819	8914	8138	7198
0820	3738	7443	7194
0821	740	6593	7103
0822	8192	2382	6313
0823	10638	902	3675
0824	11530	5516	885
0825	11958	7090	5907
0826	8422	7669	6460
0827	4158	7913	6932
0828	1250	7014	7029
0829	9442	2810	6735
0830	11672	1200	4214
0831	10472	5797	681
0901	7742	7570	117
0902	9270	7906	5016
0903	3622	7378	6317
0904	698	6153	6716
0905	804	2589	6211
0906	8634	1051	4419
0907	11430	365	1234
0908	11930	5360	5602
0909	10046	7166	6133
0910	5536	7692	7148
0911	958	6107	6998
0912	10030	2798	6940
0913	11104	844	4452
0914	12234	5430	1175
0915	11566	6614	5806
0916	8744	7758	4635
0917	5858	7899	7513
0918	878	6098	7025
0919	7732	3078	6066
0920	11846	1275	3514
0921	12582	5156	1120
0922	12246	5484	5320
0923	10112	4524	6995
0924	5582	5240	7108
0925	1166	5026	6108
0926	10186	3092	6165
0927	11458	1256	4540
0928	10974	5409	1294
0929	9722	5343	5396
0930	7444	6941	6619
1001	5022	5913	7159
1002	1542	4656	6786
1003	9578	2974	5993
1004	11620	895	3427
1005	13178	5586	1014
1006	12950	6556	5246
1007	10840	7780	6703
1008	4762	7474	7068
1009	1104	6280	7106
1010	360	2552	4346
1011	9274	944	2701
1012	11596	168	758
1013	12110	5513	116
1014	10242	6939	5442
1015	4266	6642	5602
1016	974	5211	6503
1017	9724	2545	5780
1018	12070	1010	2924
1019	12138	5093	990
1020	13264	6923	5003
1021	10996	7089	6571
1022	6284	7018	4848
1023	1058	5612	6050
1024	10168	2824	5722
1025	11192	815	2977
1026	12222	5504	788
1027	11046	6854	5332
1028	8366	5740	6128
1029	5234	6735	6787
1030	1044	4788	7159
1031	7778	2837	5070
1101	10074	953	3064
1102	11422	5382	852
1103	10246	6381	5033
1104	9898	6806	6142
1105	5200	6747	6636
1106	1126	6299	6090
1107	7932	2814	6347
1108	10346	1150	2695
