N_Name,Temp_STD,OBJECTID
Georgetown Burleith/Hillandale,-1.162331,1
Georgetown Burleith/Hillandale,-0.457576,3
Georgetown Burleith/Hillandale,-1.370359,4
Cleveland Park Woodley Park Mass Ave Heights,-1.322718,5
Cleveland Park Woodley Park Mass Ave Heights,-1.012097,6
Cleveland Park Woodley Park Mass Ave Heights,-1.085166,7
Cleveland Park Woodley Park Mass Ave Heights,-1.669129,8
Cathedral Heights McLean Gardens Glover Park,-1.548976,9
Cathedral Heights McLean Gardens Glover Park,-1.234171,10
Spring Valley Palisades Wesley Heights Foxhall,-2.584947,11
Spring Valley Palisades Wesley Heights Foxhall,-2.333001,12
Spring Valley Palisades Wesley Heights Foxhall,-2.435545,13
Spring Valley Palisades Wesley Heights Foxhall,-2.904012,14
Friendship Heights AU Park Tenleytown,-1.528402,15
Cathedral Heights McLean Gardens Glover Park,-1.180808,16
Friendship Heights AU Park Tenleytown,-1.229703,17
North Cleveland Park Forest Hills Van Ness,-1.506256,18
North Cleveland Park Forest Hills Van Ness,-2.693585,19
North Cleveland Park Forest Hills Van Ness,-2.680869,20
Hawthorne Barnaby Woods Chevy Chase,-1.614317,21
Hawthorne Barnaby Woods Chevy Chase,-2.267811,22
Hawthorne Barnaby Woods Chevy Chase,-2.179999,23
Colonial Village Shepherd Park N Portal,-1.811614,24
Takoma Brightwood Manor Park,-0.091695,25
Takoma Brightwood Manor Park,-1.713723,26
Takoma Brightwood Manor Park,-0.333099,27
Takoma Brightwood Manor Park,0.152759,28
Takoma Brightwood Manor Park,-0.195394,29
Brightwood Park Crestwood Petworth,-1.108783,30
Brightwood Park Crestwood Petworth,-0.067096,31
Brightwood Park Crestwood Petworth,0.479733,32
Brightwood Park Crestwood Petworth,0.130679,33
Brightwood Park Crestwood Petworth,0.171762,34
Brightwood Park Crestwood Petworth,-0.614349,35
Brightwood Park Crestwood Petworth,-0.372386,36
No Data,-0.63565,37
Brightwood Park Crestwood Petworth,0.233084,38
Brightwood Park Crestwood Petworth,0.484583,39
Brightwood Park Crestwood Petworth,0.381415,40
Brightwood Park Crestwood Petworth,-2.291979,41
Columbia Heights Mt. Pleasant Park View,-1.462542,42
Columbia Heights Mt. Pleasant Park View,-0.46657,43
Columbia Heights Mt. Pleasant Park View,0.924255,44
Columbia Heights Mt. Pleasant Park View,1.163045,45
Columbia Heights Mt. Pleasant Park View,0.884592,46
Columbia Heights Mt. Pleasant Park View,0.795522,47
Columbia Heights Mt. Pleasant Park View,1.053383,48
Columbia Heights Mt. Pleasant Park View,0.966978,49
Edgewood Bloomingdale Truxton Circle Eckington,0.428346,50
Edgewood Bloomingdale Truxton Circle Eckington,0.880193,51
Howard University Le Droit Park Cardozo/Shaw,0.451896,52
Columbia Heights Mt. Pleasant Park View,1.350494,53
Columbia Heights Mt. Pleasant Park View,1.03797,54
Columbia Heights Mt. Pleasant Park View,0.443583,55
Kalorama Heights Adams Morgan Lanier Heights,0.997121,56
Kalorama Heights Adams Morgan Lanier Heights,-0.724217,57
Kalorama Heights Adams Morgan Lanier Heights,-0.824694,58
Kalorama Heights Adams Morgan Lanier Heights,0.670452,59
Kalorama Heights Adams Morgan Lanier Heights,-1.35485,60
Dupont Circle Connecticut Avenue/K Street,0.5856,61
Dupont Circle Connecticut Avenue/K Street,0.432901,62
Howard University Le Droit Park Cardozo/Shaw,0.550262,63
Howard University Le Droit Park Cardozo/Shaw,1.288487,64
Edgewood Bloomingdale Truxton Circle Eckington,1.163634,65
Downtown Chinatown Penn MV Square N Capitol St,1.188759,66
Downtown Chinatown Penn MV Square N Capitol St,0.996853,67
Shaw Logan Circle,1.072892,68
Shaw Logan Circle,1.235117,69
Shaw Logan Circle,0.937783,70
Shaw Logan Circle,1.524756,71
Shaw Logan Circle,0.83221,72
Shaw Logan Circle,0.437933,73
Shaw Logan Circle,0.473274,74
Dupont Circle Connecticut Avenue/K Street,0.40816,75
Dupont Circle Connecticut Avenue/K Street,-0.22948,76
West End Foggy Bottom GWU,-0.576718,77
Downtown Chinatown Penn MV Square N Capitol St,0.565263,78
Downtown Chinatown Penn MV Square N Capitol St,0.765431,79
Southwest/Waterfront Fort McNair Buzzard Point,1.047076,81
Capitol Hill Lincoln Park,0.252532,82
Capitol Hill Lincoln Park,0.205368,83
Capitol Hill Lincoln Park,-0.100864,84
Capitol Hill Lincoln Park,0.684742,85
Capitol Hill Lincoln Park,0.42843,86
Capitol Hill Lincoln Park,0.58644,88
Capitol Hill Lincoln Park,0.466912,89
Near Southeast Navy Yard,0.892603,90
Near Southeast Navy Yard,1.137279,91
Congress Heights Bellevue Washington Highlands,-0.609904,93
Sheridan Barry Farm Buena Vista,-0.111225,94
Douglass Shipley Terrace,0.520268,95
Douglass Shipley Terrace,0.335644,96
Sheridan Barry Farm Buena Vista,-0.070955,97
Sheridan Barry Farm Buena Vista,-0.417857,98
Woodland/Fort Stanton Garfield Heights Knox Hill,-0.043375,99
Douglass Shipley Terrace,0.556922,100
Woodland/Fort Stanton Garfield Heights Knox Hill,0.491451,101
Historic Anacostia,0.377,102
Historic Anacostia,-1.447769,103
Twining Fairlawn Fort Davis Park Dupont Park,0.112874,104
Fairfax Village Hillcrest Summit Park,-0.405079,105
Fairfax Village Hillcrest Summit Park,-1.250915,106
Twining Fairlawn Fort Davis Park Dupont Park,-0.262239,107
River Terrace Benning Greenway Fort Dupont,-0.517314,108
Capitol View Marshall Heights Benning Heights,0.039683,109
River Terrace Benning Greenway Fort Dupont,-1.113036,110
Twining Fairlawn Fort Davis Park Dupont Park,-0.538844,111
Mayfair Hillbrook Mahaning Heights,-0.592129,112
Deanwood Burrville Lincoln Heights,-0.161596,113
Deanwood Burrville Lincoln Heights,0.545117,114
Deanwood Burrville Lincoln Heights,0.345307,115
Deanwood Burrville Lincoln Heights,0.007421,116
