"","STREETSEGID","freq"
"1",1,2
"2",3,1289
"3",6,5
"4",7,4
"5",8,343
"6",10,383
"7",11,382
"8",12,494
"9",13,12
"10",14,3643
"11",15,27
"12",16,215
"13",17,4
"14",18,31
"15",19,2
"16",20,516
"17",22,3
"18",23,20
"19",24,2
"20",25,20
"21",26,9770
"22",27,53
"23",28,314
"24",29,11
"25",30,417
"26",31,138
"27",32,1773
"28",33,64
"29",34,308
"30",35,50
"31",36,64
"32",37,50
"33",39,38
"34",40,6
"35",41,1
"36",43,9
"37",44,802
"38",45,1518
"39",46,22
"40",47,503
"41",48,69
"42",49,1090
"43",50,90
"44",51,176
"45",52,810
"46",53,29
"47",54,20
"48",55,1231
"49",56,2288
"50",57,6
"51",58,1134
"52",60,16
"53",64,491
"54",65,66
"55",67,2
"56",69,33
"57",71,227
"58",73,109
"59",74,8423
"60",75,16
"61",76,25
"62",77,40
"63",78,2
"64",79,16
"65",80,7
"66",81,101
"67",82,2138
"68",83,4
"69",84,169
"70",85,724
"71",86,86
"72",87,2
"73",88,524
"74",89,384
"75",90,4
"76",91,38
"77",92,90
"78",93,5
"79",94,369
"80",95,18
"81",96,44
"82",99,35
"83",101,52
"84",106,184
"85",107,88
"86",108,71
"87",109,400
"88",112,449
"89",114,10
"90",115,1
"91",116,88
"92",118,197
"93",120,192
"94",121,99
"95",123,78
"96",125,111
"97",126,11
"98",127,1
"99",130,5
"100",132,3674
"101",134,47
"102",135,1
"103",138,42
"104",140,8
"105",141,13
"106",142,5
"107",143,2
"108",144,8
"109",145,12
"110",146,2
"111",147,10
"112",148,58
"113",149,28
"114",151,30
"115",153,12
"116",154,4
"117",155,8
"118",158,4
"119",159,623
"120",161,167
"121",162,6
"122",163,48
"123",164,6248
"124",165,66
"125",166,132
"126",168,11
"127",170,4
"128",172,283
"129",173,5
"130",177,302
"131",178,4
"132",179,26
"133",182,7
"134",183,28
"135",184,3652
"136",185,52
"137",186,6
"138",187,4
"139",189,396
"140",190,2
"141",191,21
"142",193,49
"143",194,140
