"","RP_PLATE_STATE","freq"
"1","AB",177
"2","AK",402
"3","AL",3432
"4","AM",9
"5","AR",958
"6","AZ",4291
"7","BC",70
"8","CA",9162
"9","CN",16
"10","CO",2072
"11","CT",6968
"12","DC",685273
"13","DE",6666
"14","DF",2
"15","DP",4284
"16","FL",27661
"17","GA",12080
"18","GU",2
"19","HI",219
"20","IA",892
"21","ID",198
"22","IL",8678
"23","IN",6718
"24","IT",47
"25","KS",724
"26","KY",2352
"27","LA",2922
"28","MA",12021
"29","MB",5
"30","MD",863033
"31","ME",1370
"32","MI",7012
"33","MM",37
"34","MN",2092
"35","MO",2503
"36","MR",1
"37","MS",1586
"38","MT",374
"39","MX",2
"40","NB",27
"41","NC",25404
"42","ND",259
"43","NE",701
"44","NH",1433
"45","NJ",25755
"46","NL",5
"47","NM",730
"48","NS",16
"49","NV",599
"50","NY",28302
"51","OH",9415
"52","OK",2077
"53","ON",1489
"54","OR",1335
"55","PA",36056
"56","PE",21
"57","PQ",4
"58","PR",1
"59","QC",548
"60","RI",1377
"61","SC",7382
"62","SD",269
"63","SK",12
"64","TN",5666
"65","TX",14136
"66","UK",1
"67","US",478
"68","UT",584
"69","VA",534748
"70","VI",3
"71","VT",1077
"72","WA",2172
"73","WI",1836
"74","WV",5255
"75","WY",230
"76","XX",3382
"77","YT",2
"78","YY",943
"79","ZZ",28
"80",NA,14312
