"","VIOLATION_DESCRIPTION","freq"
"1","ABANDON VEH PRIV/PUBLIC PROP SOLID WASTE/RAT",21
"2","ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 1",1248
"3","ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 2",60
"4","ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 3",124
"5","BUS LANE, UNAUTHORIZED VEHICLE PARKED IN",82
"6","CMV- NON LOAD ZONE METER SPACE PROHIBITED TIMES",8
"7","CMV- NON LOAD ZONE METER W/O ANNUAL OR DAY PASS",25
"8","COMM VEH MORE THAN 22 FEET IN FRONT OF RESIDENCE",63
"9","COMMERCIAL MOTOR VEHICLE - NOT OUT OF SERVICE",743
"10","COMMERCIAL MOTOR VEHICLE - OUT OF SERVICE",350
"11","COMMERCIAL PMT PARK DECAL, FAIL DISPLAY PROPERLY",18
"12","DANGEROUS VEH ON PRIV/PUBLIC PROP S/W VIOL 1",12
"13","DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 1",619
"14","DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 2",4
"15","DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 3",1
"16","DEPOSIT PAYMENT TO EXTEND TIME BEYOND METER LIMIT",7
"17","DISOBEYING OFFICIAL SIGN",178982
"18","DRIVER MORE THAN FIVE FEET FROM TAXI",384
"19","EMERGENCY NO PARKING",21793
"20","EXCEED GROSS WEIGHT INDICATED ON IRP REGISTRATION",29
"21","EXCESSIVE IDLING.",92
"22","EXPIRATION TIME ON METER RECEIPT LAPSED",45359
"23","EXPIRATION TIME ON METER RECEIPT LAPSED BE",6
"24","EXPIRATION TIME ON METER RECEIPT LAPSED BZ",8
"25","EXPIRED HANDICAP METER",2501
"26","EXPIRED INSPECTION REJECTION STICKER",3719
"27","EXPIRED MULTISPACE METER RECEIPT IN LOADING ZONE",49
"28","FAIL DISPLAY MULTI SPACE RECEIPT PROPERLY BE",2
"29","FAIL TO DISPLAY A MULTISPACE METER RECEIPT",254733
"30","FAIL TO DISPLAY CURRENT DC VEHICLE TAGS",117
"31","FAIL TO DISPLAY CURRENT INSPECTION STICKER",17711
"32","FAIL TO DISPLAY METER RECEIPT IN A LOADING ZONE",1385
"33","FAIL TO DISPLAY MULTI-SPACE METER RECEIPT PROPERLY",2
"34","FAIL TO DISPLAY MULTI-SPACE PARKING METER RCPT BZ",4
"35","FAIL TO DISPLAY MULTI SPACE RECEIPT BALLPARKEVENT",1883
"36","FAIL TO DISPLAY RECIPROCITY STICKER",4
"37","FAIL TO DISPLAY RESIDENTIAL PARKING PERMIT",190
"38","FAIL TO LOCK AND REMOVE KEY FROM IGNITION WHEN PKD",28
"39","FAIL TO OBTAIN IRP TRIP PERMIT",22
"40","FAIL TO PARK PARALLEL",518
"41","FAIL TO PROPERLY AFFIX VALIDATION STICKERS",3895
