"Owner","Type","Metric_Tons_CO2","KGSQFT_CO2"
"WATERGATE EAST INC","Multifamily Housing",1464191,3761
"ORGANIZATION OF AMERICAN STATES (OAS)","Office",207501,1893
"George Washington University","College/University",110430,393
"WASHINGTON HOSPITAL CENTER","Hospital (General Medical & Surgical)",79389,40
"GEORGETOWN UNIVERSITY","College/University",77523,62
"Howard University","College/University",43301,30
"Children's National Medical Center","Hospital (General Medical & Surgical)",39676,20
"AMERICAN UNIVERSITY","College/University",24823,22
"THE CATHOLIC UNIVERSITY OF AMERICA","College/University",24108,20
"GALLAUDET UNIVERSITY","College/University",23425,8
"WASHINGTON PLAZA HOTEL LLC","Hotel",21639,72
"PARCEL 49C LIMITED PARTNERSHIP","Office",17667,27
"JBG/FEDERAL CENTER LLC","Office",13338,9
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA)","Other",11448,94
"CC OWNER LLC","Office",11374,7
"PARCEL 49B LIMITED PARTNERSHIP","Office",10396,18
"SMITH PROPERTY HOLDINGS 4411 CONNECTICUTT LLC","Multifamily Housing",9566,28
"CJUF II DESTINATION HOTEL LLC","Hotel",9509,10
"WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA)","Office",9245,31
"OMNI SHOREHAM CORPORATION","Hotel",9090,10
"NSHE TEMPLE LLC","Hotel",8937,13
"CARR CRHP PROPERTIES LLC","Office",8864,8
"GALLERY PLACE LAND TRUST","Mixed Use Property",8654,15
"FEDERAL CENTER OFFICE ASSOCIATES LLC","Office",8172,22
"SECOND ST HOLDING LLC","Office",7643,10
"WILLARD ASSOCIATES","Hotel",7525,12
"NATIONAL GEOGRAPHIC SOCIETY","Office",7355,10
"WORLD VISION PROPERTIES LLC","Office",7318,130
"CHH CAPITAL HOTEL PARTNERS LP","Hotel",7315,12
"TEACHERS INSURANCE & ANNUNITY ASSOCIATION OF AMERICA","Office",7226,8
"PARCEL 47D LLC","Office",7225,14
"XM 1500 ECKINGTON LLC","Office",6887,40
"13TH & F ASSOCIATES LP & WMATA","Office",6848,10
"COLUMBIA PLAZA LP","Multifamily Housing",6650,7
"JAN K EVANS KING TRUSTEE","Office",6649,14
"RIGGS BANK N.A. TRUSTEE","Office",6446,18
"C & P TELEPHONE COMPANY","Office",6370,85
"1120 VERMONT AVE ASSOCIATES LLP","Office",6253,12
"SEVEN HUNDRED 2ND STREET HOLDINGS LLC","Office",6225,11
"MARIA C TRIPOLI","Office",6196,10
"JEMALS ATLANTIC LLC","Office",6189,23
"CPT NP BUILDING LLC","Office",6136,9
"PORTALS HOTEL SITE LLC","Hotel",6091,12
"MANUFACTURERS LIFE INSURANCE","Office",6025,15
"JWDC LP","Hotel",5898,9
"SHC WASHINGTON LLC","Hotel",5683,12
"WELLS REIT/INDEPENDENCE SQUARE LLC","Office",5664,9
"MANGER 81034 TRUST PARTNERS LLC","Office",5656,29
"1201 LAND LP","Office",5598,13
"WARNER INVESTMENTS LP","Office",5561,7
"SUNTONE K9 LLC","Hotel",5402,8
"LHCW HOTEL HOLDING (2002) LLC","Hotel",5355,14
"METROPLITAN SQUARE ASSOCIATES LLC","Office",5313,7
"JEMALS SQUARE 320 LLC","Office",5244,21
"NORTHWESTERN DEVELOPMENT CO","Office",5189,7
"H STREET SHUFFLE LC","Hotel",5136,30
"UNITED BROTHERHD CRPT JNR AM NATL H S FD","Office",5102,10
"ROSCHE/888 FIRST STREET NE LLC","Office",5022,9
"JAMESTOWN PREMIER ONE METRO CENTER CORP","Office",4996,11
"HARBOUR SQUARE OWNERS INC","Multifamily Housing",4943,7
"JAMES J HAYES","Office",4929,8
"BP/CRF 901 NEW YORK AVENUE LLC","Office",4913,8
"MARBURY REAL ESTATE LLC","Multifamily Housing",4913,6
"C M LAND LLC","Office",4894,18
"NATIONAL PLACE LAND COMPANY LLC","Office",4865,8
"LAFAYETTE CENTRE PROPERTY LLC","Office",4785,20
"ROCK CREEK PLAZA WOODNER","Multifamily Housing",4737,5
"LHL REALTY COMPANY","Office",4717,9
"WATERGATE WEST INC","Multifamily Housing",4683,15
"POTOMAC CENTER NORTH INC","Office",4625,9
"TWO CON LLC","Office",4580,7
"BLENHEIM DC LLC","Office",4427,8
"JEMALS CAYRE WOODIES LLC","Office",4277,8
"PROTESTANT EPISCOPAL CATHEDRAL FND DC","Worship Facility",4252,8
"OCEAN VIEW DEVELOPMENT COMPANY LP","Office",4245,7
"JUDICIARY PLAZA LLC","Office",4236,8
"BRENTWOOD ASSOCIATES","Other",4225,17
"PRESIDENTIAL BUILDING LLC","Office",4163,11
"1301 K STREET LP","Office",4125,6
"COLUMBIA REALTY VENTURE LLC","Multifamily Housing",4084,42
"TIAA FRANKLIN SQUARE LLC","Office",4074,8
