LOT,LOT_TYPE,OWNERNAME,CAREOFNAME,ADDRESS1,ADDRESS2,CITYSTZIP,PROPERTYNAME,ADDRESSOFRECORD,OWNEROFRECORD,YEARBUILT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERUSE_ALLWATERSOURCES_KGAL,ELECTRICITYUSE_KWH,NATURALGASUSE_THERMS,LATITUDE,LONGITUDE
7000,3, , , , ,",",Columbus School of Law,701 MICHIGAN AV,THE CATHOLIC UNIVERSITY OF AMERICA,1900,College/University,166575,100,1,1,1,1,9,0.054029716,"2,903",322852,1769,38.93309386,-76.9950971
915,2, , , , ,",",St. Paul's College,3015 4TH ST,MISSIONARY SOCIETY OF ST PAUL TH EAPOSTLE IN THE STATE OF NY,1913,College/University,113006,0,67,66,127,125,648,5.734208803,945,902526,44360,38.92792588,-76.99908127
821,2, , , , ,",",The Goodwill Building,2200 SOUTH DAKOTA AV,2200 SOUTH DAKOTA AVE LLC,1982,Distribution Center,93480,50,57,56,146,144,570,6.097560976,"1,344",1085544,13974,38.91982892,-76.95949064
8,1, , , , ,",",Jemal's Hecht's LLC,1401 - 1435 NEW YORK AV NE,JEMAL'S HECHT'S LLC,1937,Distribution Center,468740,0,0.4,0.4,1.1,1.1,21,0.044800956,0,48525.6,0,38.91536994,-76.98437786
85,1, , , , ,",",Embassy Suites Hotels,1250 22ND ST NW,EMBASSY/SHAW D C VENTURE,1987,Hotel,454961,100,35.9,55,121,37.6,584.79,1.285362921,"20,137",0,109922.9,38.90686538,-77.04945151
34,1, , , , ,",",Henley Park Hotel,0926 MASSACHUSETTS AV,TUDOR LP,1918,Hotel,59425,95,77,77,86,86,254,4.27429533,"7,062",44363,44040,38.90312382,-77.02575133
27,1, , , , , ,132-Hampton Inn - Washington DC,0599 MASSACHUSETTS AV,HHLP DC CONVENTION CENTER ASSOCIATES LLC,2005,Hotel,161193,31,56.8,57.1,150.8,151.5,1018.4,6.317892216,6586,2090282,21165.001,38.90184103,-77.01958129
40,1, , , , ,",",770 5th Street NW,770 5TH STREET NW,AVALON @ GALLERY PL CONDOM,1900,Hotel,233968,82,23.8,53.8,140.7,63.8,578.37,2.472004719,6578.8,1029040,15258,38.89892576,-77.01925304
6,1, , , , , ,V.N.N.C.Inc.,3101 VEAZEY TR NW,V N N C INC,1966,Multifamily Housing,698441,81,64.5,69.2,126.7,125,2694.8,3.858307287,6704.8,3964421,185002.002,38.94483738,-77.06170193
59,1, , , , ,",",Rhode Island Row,2300 WASHINGTON PL,WASHINGTON METROPOLITAN AREA TRANSITY AUTHORITY,2012,Multifamily Housing,173828,0,27,27,76,76,1222,7.02993764,"10,076",2487293,16076,38.92026271,-76.99536193
103,1, , , , ,",",Somerset House Condominium Association,1801 16TH ST NW,TENACITY 1801 16TH STREET LLC,1917,Multifamily Housing,93914,0,76,69,108,101,368,3.918478608,"2,400",284769,44722,38.91437241,-77.03600106
104,1, , , , ,",",The DeSoto,1445 P ST,METRO MARKET LLC,2004,Multifamily Housing,57992,38,71,71,165,165,421,7.259622017,"4,390",735069,15997,38.90991518,-77.03358968
21,1, , , , , ,2400 M Street,2400 M ST NW,EQR-JBG 2400 RESIDENTIAL LLC,2006,Multifamily Housing,3614625,34,75,74,166,162,1971,0.545284781,"11,715",3288057,88415,38.90479531,-77.05196286
50,1, , , , ,",",DC003 - AVA H Street,0318 I ST,AVALON 318 I STREET LLC,2012,Multifamily Housing,94800,80,42,42,125,125,603,6.360759494,"3,374",1285414,2946,38.90170352,-77.00097899
19,1, , , , , ,Watergate South Inc,0700 NEW HAMPSHIRE AV NW,WATERGATE SOUTH INC,1971,Multifamily Housing,432755,100,13,13,39,39,717,1.656826611,"13,468",1569187,1690,38.8983884,-77.05538305
35,1, , , , ,",",Mass Court - Municipal Benchmarking Account,0300 MASSACHUSETTS AV,T-C MASS COURT LLC,2004,Multifamily Housing,200000,81,39,38,98,98,1556,7.78,"14,121",2936824,40333,38.89964539,-77.01547004
29,1, , , , , ,Chevy Chase Plaza,5301 WISCONSIN AV NW,5301 WISCONSIN AVENUE ASSOCIATES,1989,Office,250155,59,79,79,248.2,248.2,1713.5,6.849753153,4960.9,3965615,0,38.95934342,-77.08440763
4,1, , , , , ,3400 Idaho,3400 IDAHO AV NW,VAUGHN MCLEAN LLC,1990,Office,60234,30,120,120,375,375,964,16.00425009,"2,494",2110427,0,38.93546804,-77.07418123
113,1, , , , , ,Brookings Institution Annex,1775 MASSACHUSETTS AV NW,BROOKINGS INSTITUTION,1964,Office,173315,58,93.7,94.6,221.4,222.3,623.9,3.599803825,652.6,1156665,23386.403,38.9089868,-77.04049787
165,1, , , , , ,Resources for the Future Inc./Resources and Conservation Center LLC,1400 16TH ST,C M LAND LLC,1959,Office,278656,86,60,60,187,187,4894,17.56287322,"7,581",4785163,0,38.90900683,-77.03716154
123,1, , , , ,",",National City Christian Church Foundation,0005 THOMAS CIR,NATIONAL CITY CHRISTIAN CHURCH CORP INC,1930,Office,60602,0,94,93,194,192,526,8.679581532,"1,067,547",805369,29740,38.90644385,-77.0325449
55,1, , , , , ,2300-2330 M ST,2300 - 2330 M ST NW,MEDICAL FACULTY ASSOCIATES INC,1984,Office,120872,65,66.8,66.8,209.8,209.7,1364,11.28466477,2399.1,3156668,49210,38.9050086,-77.05055608
76,1, , , , , ,1050 Thomas Jefferson Street NW,1050 THOMAS JEFFERSON ST NW,KIRSTEIN GERWIRZ AND ABEL,1981,Office,287032,62,80,80,251.1,251.1,2091.8,7.287689178,6366.7,4841080,0,38.90348715,-77.06043576
84,1, , , , , ,Papermill,3251 K ST NW,MILL PARTNERS PAPERMILL L P,1990,Office,88893,34,72.4,72.4,227.4,227.4,738.4,8.306615819,"2,011",1708882,0,38.90342552,-77.06477304
83,1, , , , , ,2175 K Street (New),2175 K ST,DEKA IMMOBILIEN INVESTMENT GMBH,1981,Office,183962,83,54,54,168,168,1044,5.675085072,"2,754",2284642,0,38.90287035,-77.0484257
27,1, , , , , ,1101 New York Ave,1101 NEW YORK AV,1101 NEW YORK HOLDINGS LLC,2007,Office,512092,77,70.1,70.1,215.4,215.4,3409.3,6.657592776,6144.7,7778463,9109.355,38.90171205,-77.02762729
39,1, , , , ,",",1600 I Street Corporation,1600 I ST NW,1600 I STREET CORPORATION,1969,Office,197042,79,88.7,88.4,207.4,207.1,1212.1,6.151480395,2734.2,2225516,47195.654,38.90096889,-77.03706787
838,2, , , , ,",",251 Massachusetts Avenue LLC,251 H ST,251 MASSACHUSETTS AVENUE LLC,2008,Office,93877,0,96,96,301,301,1204,12.82529267,"1,305",2635676,0,38.90047623,-77.01456496
50,1, , , , , ,0700 Sixth Street NW (USAA),0700 6TH ST,BERGMANNS INC,2009,Office,299216,81,39.3,60.4,189.7,131.3,1706.01,5.701600182,5652.2,3530874.3,108955.4,38.89897868,-77.02026707
89,1, , , , ,",",1101 4th Street SW at Waterfront Station II,1101 4TH ST,USGBF WATERFRONT STATION LLC,2010,Office,283470,85,65,70.3,205,220.3,2589,9.133241613,"6,645",5661958,0,38.87762166,-77.0182103
39,1, , , , , ,USDOT Building,1200 NEW JERSEY AV,JBG/FEDERAL CENTER LLC,2005,Office,1918668,91,73.1,73.5,190.7,191.1,12454.3,6.491117796,35143,25219860,293417,38.87584009,-77.00227804
102,1, , , , , ,Dakota,2100 F ST NW,GEORGE WASHINGTON UNIVERSITY,1989,College/University,69402,69,65,65,147,147,456,6.570415838,"6,980",773767,19279,38.89705673,-77.04693372
58,1, , , , , ,acadia brentwood llc,1060 BRENTWOOD RD,ACADIA BRENTWOOD LLC,2006,Wholesale Club/Supercenter,58129,0,67,67,187,187,469,8.068261969,245,948055,6798,38.92029894,-76.99337187
8,1, , , , , ,The Towers Condominium,4201 CATHEDRAL AVE NW,THE TOWERS CONDO,1958,Multifamily Housing,660200,0,56,0,0,106.9,4556.27,6.901348076,,5350630,370491,38.9305909,-77.08411295
