subhood,Percent,avgfare,id
Parkside,0.002,22.68,7
Gov Fleet Parking,0.002,14.46,9
Pope Branch Park,0.000,0.00,23
Whitehaven Parkway,0.017,10.81,30
Mass. Ave. Heights,0.037,8.65,35
GWU-MV,0.003,12.84,37
DHS,0.009,11.08,39
Southwest Federal Center,1.469,12.16,48
Southwest Waterfront,0.843,13.24,49
Hains Point,0.000,19.01,50
Washington Hebrew Congregation Cemetery,0.000,22.96,53
Joint Base Anacostia Bolling Naval Research Laboratory,0.010,22.29,60
Pepco Benning Road Plant,0.000,0.00,61
Washington Monument Grounds,0.179,9.46,73
Rock Creek and  Potomac Parkway,0.137,6.76,76
Pleasant Plains,0.221,10.27,77
Park Place/Cloisters,0.024,12.97,80
North Portal Estates,0.003,18.91,85
NoMa,1.553,11.89,88
National Mall,1.235,11.62,93
Michigan Park,0.033,17.63,99
McMillan Reservoir,0.007,10.81,102
McLean Gardens,0.124,11.35,103
Logan Circle,4.097,6.49,107
Lamond Riggs,0.010,18.37,112
Lafayette Square,0.257,6.76,113
Ivy City,0.022,14.59,118
Hillandale,0.058,10.27,122
Glover-Archbold Parkway,0.273,10.54,127
Ft. McNair,0.005,14.73,133
Federal Triangle,0.750,9.74,142
Fairfax Village,0.004,22.42,144
Eckington,0.364,10.82,147
Eastland Gardens,0.002,23.77,149
Dalecarlia Reservoir,0.009,16.48,154
Congressional Cemetery,0.001,18.51,158
Cathedral Heights,0.750,10.00,164
Burrville,0.003,25.12,169
Anacostia River,0.001,22.96,182
Woodland,0.002,20.80,190
Soapstone Valley Park,0.000,0.00,206
Sibley Hospital,0.063,15.40,208
Rock Creek Park (south),0.161,10.00,212
Brentwood Railyard,0.000,0.00,11
Fort Totten Park,0.000,0.00,12
Fort Slocum Park,0.001,15.94,13
Capitol View,0.008,25.12,1
Fort Circle Parkland,0.001,27.82,2
Barry Farm,0.003,19.32,3
Mt. Vernon Square,0.787,8.38,14
St. Elizabeths Hospital West,0.000,23.21,4
